90-90-unpol_at_679.99nm_cut_at_1250.00Y_01.dat
24.01.2024
13:28:36
cut middle at Y: 1250.00
top cursor: 1310 down cursor: 1190 mean of: 120 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	680.100
516.122	643.042
516.250	627.092
516.378	630.542
516.506	633.025
516.635	633.750
516.763	639.975
516.891	639.667
517.019	648.092
517.147	641.600
517.275	640.800
517.403	649.042
517.531	641.992
517.660	637.700
517.788	645.358
517.916	652.208
518.044	643.592
518.172	649.642
518.300	648.708
518.428	643.342
518.556	652.917
518.685	652.350
518.813	656.992
518.941	662.842
519.069	660.883
519.197	653.408
519.325	658.075
519.453	652.617
519.581	665.508
519.710	659.317
519.838	663.683
519.966	659.867
520.094	664.025
520.222	667.767
520.350	668.600
520.478	678.458
520.606	678.675
520.735	675.008
520.863	676.558
520.991	686.550
521.119	677.567
521.247	687.600
521.375	683.517
521.503	696.142
521.631	687.425
521.760	687.833
521.888	695.633
522.016	703.192
522.144	696.325
522.272	702.650
522.400	711.058
522.528	710.842
522.656	703.325
522.785	711.008
522.913	712.458
523.041	713.067
523.169	712.025
523.297	705.358
523.425	716.517
523.553	713.242
523.681	718.750
523.810	722.958
523.938	720.633
524.066	721.575
524.194	720.308
524.322	720.933
524.450	723.533
524.578	719.250
524.706	730.883
524.835	718.550
524.963	723.875
525.091	718.758
525.219	728.208
525.347	719.308
525.475	727.125
525.603	728.317
525.731	728.717
525.860	729.233
525.988	716.417
526.116	718.767
526.244	725.883
526.372	721.242
526.500	726.208
526.628	739.517
526.756	724.133
526.885	722.183
527.013	727.617
527.141	735.733
527.269	730.533
527.397	739.742
527.525	736.625
527.653	731.658
527.781	727.983
527.910	741.175
528.038	732.467
528.166	740.267
528.294	741.842
528.422	735.633
528.550	745.208
528.678	739.608
528.806	751.675
528.935	748.183
529.063	751.283
529.191	748.300
529.319	758.600
529.447	755.258
529.575	757.800
529.703	762.017
529.831	766.642
529.960	765.708
530.088	758.808
530.216	766.392
530.344	759.983
530.472	770.900
530.600	764.300
530.728	766.083
530.856	773.808
530.985	776.508
531.113	768.075
531.241	777.517
531.369	769.575
531.497	774.033
531.625	770.208
531.753	767.000
531.881	780.967
532.010	774.200
532.138	773.192
532.266	775.367
532.394	768.808
532.522	764.317
532.650	773.792
532.778	777.775
532.906	769.708
533.035	779.875
533.163	772.600
533.291	770.208
533.419	766.575
533.547	775.675
533.675	769.167
