Lampe_Signal_unpol_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:22:10
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
561.478	1022.517
561.606	1045.212
561.735	1038.059
561.863	1032.102
561.991	1035.610
562.119	1029.195
562.247	1039.381
562.375	1038.856
562.503	1034.805
562.631	1029.017
562.760	1026.212
562.888	1030.703
563.016	1032.508
563.144	1024.644
563.272	1017.432
563.400	1014.678
563.528	1017.585
563.656	1018.729
563.785	1018.492
563.913	1017.042
564.041	1011.915
564.169	1014.831
564.297	1010.966
564.425	1010.169
564.553	1018.161
564.681	1020.686
564.810	1009.042
564.938	1011.754
565.066	1014.797
565.194	1024.678
565.322	1013.712
565.450	1010.585
565.578	1019.975
565.706	1016.508
565.835	1022.517
565.963	1016.059
566.091	1017.822
566.219	1025.475
566.347	1013.653
566.475	1012.525
566.603	1017.534
566.731	1024.500
566.860	1021.551
566.988	1019.508
567.116	1033.763
567.244	1027.873
567.372	1031.347
567.500	1033.525
567.628	1027.788
567.756	1023.686
567.885	1039.610
568.013	1037.703
568.141	1033.186
568.269	1031.644
568.397	1031.941
568.525	1031.475
568.653	1045.585
568.781	1037.356
568.910	1046.203
569.038	1037.347
569.166	1034.924
569.294	1040.975
569.422	1054.466
569.550	1037.195
569.678	1045.220
569.806	1042.907
569.935	1044.271
570.063	1050.466
570.191	1054.263
570.319	1046.458
570.447	1049.246
570.575	1049.771
570.703	1052.703
570.831	1059.983
570.960	1050.322
571.088	1063.297
571.216	1050.186
571.344	1049.237
571.472	1051.695
571.600	1060.136
571.728	1052.085
571.856	1058.898
571.985	1055.178
572.113	1053.144
572.241	1057.008
572.369	1066.754
572.497	1058.136
572.625	1062.924
572.753	1057.161
572.881	1056.169
573.010	1067.966
573.138	1070.695
573.266	1069.424
573.394	1060.924
573.522	1060.831
573.650	1061.356
573.778	1052.695
573.906	1061.390
574.035	1056.669
574.163	1056.347
574.291	1055.322
574.419	1054.593
574.547	1064.958
574.675	1069.195
574.803	1058.390
574.931	1056.424
575.060	1069.771
575.188	1060.144
575.316	1052.839
575.444	1054.127
575.572	1059.008
575.700	1052.407
575.828	1072.415
575.956	1055.788
576.085	1051.466
576.213	1049.661
576.341	1051.449
576.469	1055.847
576.597	1046.127
576.725	1048.949
576.853	1041.297
576.981	1043.161
577.110	1041.661
577.238	1048.924
577.366	1039.347
577.494	1032.653
577.622	1039.415
577.750	1036.347
577.878	1033.839
578.006	1044.246
578.135	1025.593
578.263	1028.941
578.391	1048.059
578.519	1025.678
578.647	1032.856
578.775	1032.288
578.903	1020.958
579.031	1034.576
579.160	1023.771
579.288	1025.042
579.416	1029.771
579.544	1034.814
579.672	1031.229
579.800	1033.398
579.928	1025.958
580.056	1016.483
580.185	1023.602
580.313	1019.585
580.441	1024.220
580.569	1017.220
580.697	1018.169
580.825	1024.949
580.953	1030.076
581.081	1025.958
581.210	1030.958
581.338	1033.864
581.466	1032.763
581.594	1037.297
581.722	1020.898
581.850	1018.144
581.978	1028.966
582.106	1022.441
582.235	1033.593
582.363	1025.102
582.491	1038.305
582.619	1023.153
582.747	1030.381
582.875	1033.839
583.003	1037.542
583.131	1038.297
583.260	1040.339
583.388	1043.475
583.516	1052.034
583.644	1045.890
583.772	1053.619
583.900	1051.568
584.028	1060.610
584.156	1046.992
584.285	1055.720
584.413	1057.068
584.541	1069.280
584.669	1058.034
584.797	1055.297
584.925	1061.661
585.053	1064.593
585.181	1068.771
585.310	1068.059
585.438	1060.102
585.566	1065.102
585.694	1075.822
585.822	1081.415
585.950	1070.305
586.078	1075.737
586.206	1090.814
586.335	1080.229
586.463	1080.822
586.591	1090.000
586.719	1088.449
586.847	1085.136
586.975	1086.534
587.103	1086.983
587.231	1081.449
587.360	1084.517
587.488	1094.822
587.616	1084.576
587.744	1089.890
587.872	1083.263
588.000	1094.992
588.128	1098.771
588.256	1089.907
588.385	1091.322
588.513	1086.653
588.641	1091.305
588.769	1094.331
588.897	1075.381
589.025	1089.475
589.153	1083.373
589.281	1081.144
589.410	1096.288
589.538	1087.051
589.666	1084.763
589.794	1086.398
