90-100-90_at_679.99nm_cut_at_1250.00Y_01.dat
24.01.2024
13:30:10
cut middle at Y: 1250.00
top cursor: 1310 down cursor: 1190 mean of: 120 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	495.758
516.122	471.775
516.250	467.992
516.378	460.392
516.506	463.183
516.635	462.342
516.763	468.158
516.891	463.333
517.019	466.192
517.147	467.850
517.275	465.950
517.403	473.633
517.531	468.000
517.660	464.933
517.788	461.292
517.916	470.725
518.044	463.842
518.172	468.108
518.300	469.675
518.428	467.683
518.556	468.992
518.685	465.550
518.813	469.167
518.941	475.100
519.069	472.692
519.197	468.442
519.325	469.800
519.453	470.517
519.581	479.783
519.710	472.383
519.838	476.983
519.966	476.792
520.094	477.825
520.222	476.800
520.350	483.317
520.478	480.650
520.606	478.458
520.735	481.500
520.863	478.717
520.991	483.667
521.119	479.700
521.247	483.633
521.375	485.833
521.503	488.583
521.631	490.592
521.760	492.825
521.888	490.058
522.016	491.292
522.144	494.533
522.272	494.233
522.400	493.675
522.528	501.225
522.656	492.975
522.785	498.158
522.913	497.867
523.041	497.108
523.169	499.525
523.297	503.917
523.425	498.892
523.553	504.550
523.681	501.475
523.810	505.508
523.938	507.967
524.066	503.500
524.194	499.292
524.322	500.992
524.450	498.642
524.578	502.775
524.706	503.083
524.835	500.067
524.963	503.125
525.091	501.367
525.219	502.792
525.347	502.950
525.475	502.750
525.603	503.075
525.731	505.908
525.860	504.742
525.988	501.825
526.116	505.583
526.244	501.300
526.372	497.917
526.500	504.442
526.628	505.408
526.756	503.083
526.885	502.817
527.013	501.650
527.141	504.125
527.269	504.742
527.397	507.050
527.525	514.450
527.653	500.700
527.781	503.383
527.910	510.142
528.038	511.725
528.166	507.517
528.294	509.100
528.422	506.483
528.550	511.642
528.678	514.400
528.806	517.333
528.935	510.375
529.063	515.292
529.191	509.242
529.319	515.225
529.447	518.417
529.575	515.967
529.703	514.883
529.831	518.258
529.960	511.808
530.088	521.783
530.216	521.417
530.344	520.567
530.472	519.292
530.600	522.550
530.728	523.542
530.856	526.792
530.985	522.592
531.113	520.867
531.241	524.958
531.369	527.617
531.497	522.292
531.625	520.392
531.753	522.525
531.881	529.250
532.010	528.342
532.138	526.467
532.266	523.042
532.394	525.217
532.522	522.858
532.650	527.175
532.778	530.950
532.906	523.342
533.035	529.000
533.163	525.483
533.291	520.900
533.419	523.750
533.547	528.525
533.675	528.558
533.803	522.750
533.931	518.775
534.060	522.425
534.188	525.533
534.316	527.358
534.444	515.758
534.572	519.842
534.700	523.033
534.828	522.417
534.956	525.550
535.085	529.167
535.213	528.425
535.341	528.392
535.469	527.533
535.597	522.125
535.725	527.933
535.853	527.542
535.981	531.325
536.110	534.575
536.238	529.575
536.366	538.808
536.494	535.108
536.622	530.458
536.750	533.892
536.878	534.317
537.006	538.783
537.135	539.783
537.263	538.542
537.391	535.550
537.519	534.492
537.647	541.650
537.775	542.808
537.903	545.492
538.031	545.233
538.160	549.467
538.288	551.133
538.416	547.783
538.544	548.208
538.672	556.308
538.800	557.317
538.928	553.100
539.056	550.933
539.185	553.867
539.313	550.367
539.441	552.042
539.569	554.983
539.697	554.008
539.825	555.208
539.953	554.042
540.081	554.517
540.210	554.383
540.338	552.883
540.466	554.408
540.594	545.158
540.722	551.917
540.850	552.692
540.978	557.708
541.106	554.067
541.235	560.975
541.363	547.558
541.491	552.125
541.619	554.558
541.747	556.650
541.875	553.175
542.003	549.683
542.131	547.875
542.260	559.975
542.388	552.733
542.516	555.775
542.644	557.875
542.772	558.833
542.900	553.825
543.028	555.792
543.156	554.792
543.285	551.450
543.413	553.850
543.541	558.292
543.669	557.175
543.797	556.433
543.925	555.725
544.053	556.925
544.181	557.967
544.310	555.650
544.438	556.133
544.566	560.558
544.694	566.708
544.822	551.708
544.950	555.525
545.078	556.475
545.206	563.375
545.335	562.008
545.463	554.467
545.591	568.642
545.719	564.117
545.847	563.400
545.975	566.358
546.103	561.808
546.231	562.900
546.360	560.758
546.488	564.900
546.616	563.617
546.744	560.400
546.872	559.592
547.000	564.467
547.128	570.758
547.256	567.792
547.385	563.267
547.513	565.758
547.641	571.642
547.769	568.542
547.897	571.158
548.025	567.817
548.153	575.683
548.281	569.450
548.410	571.017
548.538	576.608
548.666	572.775
548.794	562.842
548.922	569.175
549.050	572.633
549.178	569.950
549.306	573.325
549.435	578.608
549.563	574.267
549.691	565.508
549.819	576.267
549.947	579.692
550.075	576.633
550.203	573.342
550.331	570.967
550.460	574.767
550.588	570.508
550.716	577.375
550.844	568.217
550.972	573.233
551.100	566.000
551.228	569.208
551.356	570.375
551.485	574.075
551.613	569.383
551.741	561.592
551.869	562.625
551.997	563.542
552.125	561.150
552.253	572.108
552.381	560.342
552.510	560.533
552.638	558.283
552.766	566.742
552.894	556.367
553.022	559.592
553.150	557.750
553.278	563.133
553.406	551.625
553.535	562.125
553.663	554.075
553.791	551.883
553.919	552.750
554.047	556.500
554.175	554.883
554.303	555.308
554.431	549.158
554.560	555.617
554.688	554.992
554.816	553.358
554.944	552.383
555.072	549.267
555.200	552.242
555.328	551.425
555.456	551.725
555.585	554.667
555.713	554.108
555.841	554.533
555.969	562.758
556.097	556.967
556.225	555.650
556.353	554.908
556.481	557.308
556.610	565.325
556.738	554.467
556.866	563.067
556.994	558.225
557.122	561.350
557.250	563.283
557.378	567.075
557.506	556.058
557.635	561.150
557.763	563.708
557.891	566.308
558.019	561.633
558.147	570.200
558.275	561.417
558.403	571.700
558.531	566.417
558.660	565.750
558.788	575.675
558.916	572.300
559.044	562.575
559.172	568.300
559.300	572.492
559.428	573.008
559.556	574.442
559.685	572.058
559.813	568.225
559.941	575.283
560.069	579.792
560.197	572.383
560.325	581.417
560.453	571.000
560.581	568.683
560.710	569.917
560.838	572.367
560.966	572.025
561.094	569.967
561.222	571.425
561.350	573.000
561.478	570.192
561.606	570.983
561.735	565.692
561.863	571.400
561.991	572.633
562.119	564.750
562.247	568.933
562.375	567.058
562.503	571.750
562.631	571.000
562.760	563.317
562.888	569.425
563.016	570.325
563.144	566.433
563.272	564.733
563.400	562.083
563.528	562.000
563.656	567.250
563.785	563.000
563.913	568.375
564.041	563.650
564.169	566.767
564.297	564.500
564.425	556.900
564.553	561.775
564.681	565.275
564.810	561.292
564.938	566.617
565.066	566.342
565.194	566.308
565.322	568.650
565.450	566.275
565.578	564.433
565.706	558.767
565.835	566.975
565.963	562.042
566.091	561.333
566.219	561.733
566.347	566.458
566.475	562.933
566.603	559.408
566.731	565.642
566.860	566.817
566.988	560.725
567.116	568.717
567.244	571.508
567.372	569.008
567.500	568.275
567.628	570.425
567.756	578.000
567.885	571.517
568.013	575.425
568.141	570.700
568.269	568.200
568.397	570.867
568.525	572.542
568.653	578.158
568.781	577.558
568.910	582.242
569.038	578.775
569.166	576.033
569.294	580.017
569.422	586.317
569.550	581.808
569.678	583.842
569.806	582.242
569.935	579.983
570.063	592.183
570.191	592.358
570.319	588.025
570.447	583.383
570.575	588.533
570.703	589.417
570.831	591.167
570.960	588.208
571.088	592.925
571.216	593.133
571.344	593.108
571.472	597.533
571.600	600.550
571.728	593.358
571.856	589.617
571.985	598.658
572.113	599.742
572.241	598.575
572.369	606.867
572.497	590.200
572.625	599.067
572.753	594.092
572.881	602.308
573.010	598.208
573.138	604.692
573.266	602.225
573.394	600.117
573.522	598.242
573.650	603.300
573.778	596.467
573.906	600.742
574.035	599.758
574.163	601.783
574.291	601.717
574.419	604.258
574.547	604.267
574.675	604.867
574.803	602.167
574.931	604.442
575.060	604.825
575.188	596.158
575.316	605.292
575.444	595.475
575.572	605.208
575.700	598.475
575.828	602.958
575.956	604.333
576.085	598.892
576.213	603.317
576.341	602.558
576.469	599.725
576.597	595.608
576.725	604.200
576.853	595.217
576.981	597.617
577.110	597.967
577.238	602.375
577.366	593.158
577.494	598.867
577.622	595.042
577.750	593.217
577.878	594.075
578.006	603.950
578.135	597.292
578.263	590.575
578.391	591.933
578.519	587.658
578.647	595.992
578.775	594.808
578.903	590.258
579.031	592.458
579.160	583.967
579.288	589.942
579.416	591.525
579.544	590.892
579.672	587.767
579.800	593.283
579.928	589.375
580.056	587.858
580.185	585.800
580.313	585.042
580.441	588.233
580.569	587.425
580.697	587.317
580.825	588.792
580.953	592.833
581.081	590.967
581.210	589.642
581.338	590.350
581.466	591.392
581.594	592.467
581.722	591.333
581.850	586.558
581.978	594.033
582.106	589.817
582.235	593.600
582.363	594.983
582.491	595.392
582.619	590.492
582.747	599.675
582.875	599.467
583.003	601.942
583.131	591.992
583.260	596.375
583.388	602.725
583.516	602.300
583.644	602.858
583.772	605.325
583.900	610.708
584.028	605.158
584.156	610.425
584.285	611.717
584.413	607.783
584.541	614.858
584.669	609.333
584.797	608.775
584.925	607.608
585.053	614.300
585.181	614.333
585.310	620.167
585.438	620.267
585.566	617.225
585.694	623.258
585.822	626.108
585.950	624.983
586.078	626.608
586.206	624.125
586.335	629.167
586.463	626.675
586.591	636.508
586.719	633.475
586.847	629.817
586.975	631.742
587.103	626.850
587.231	630.117
587.360	637.050
587.488	638.433
587.616	636.925
587.744	640.142
587.872	635.567
588.000	634.558
588.128	645.808
588.256	638.175
588.385	637.333
588.513	636.100
588.641	639.350
588.769	649.342
588.897	641.417
589.025	632.442
589.153	639.508
589.281	639.525
589.410	640.717
589.538	642.717
589.666	642.833
589.794	637.608
589.922	643.200
590.050	648.750
590.178	639.192
590.306	641.600
590.435	643.767
590.563	635.575
590.691	643.808
590.819	639.858
590.947	650.533
591.075	641.217
591.203	635.958
591.331	639.817
591.460	643.633
591.588	634.675
591.716	644.292
591.844	646.025
591.972	643.908
592.100	642.267
592.228	638.975
592.356	645.192
592.485	639.900
592.613	642.083
592.741	645.483
592.869	642.492
592.997	647.008
593.125	644.900
593.253	647.325
593.381	643.133
593.510	647.825
593.638	645.833
593.766	647.000
593.894	654.108
594.022	646.308
594.150	653.042
594.278	657.017
594.406	651.683
594.535	654.733
594.663	656.467
594.791	654.300
594.919	658.958
595.047	648.275
595.175	661.200
595.303	651.000
595.431	658.017
595.560	663.692
595.688	659.192
595.816	654.175
595.944	665.983
596.072	665.542
596.200	659.783
596.328	659.033
596.456	673.008
596.585	664.158
596.713	673.783
596.841	666.925
596.969	665.033
597.097	665.075
597.225	673.725
597.353	665.908
597.481	677.775
597.610	675.133
597.738	677.550
597.866	667.758
597.994	677.467
598.122	682.008
598.250	679.050
598.378	679.708
598.506	678.750
598.635	681.283
598.763	682.158
598.891	679.983
599.019	689.867
599.147	675.267
599.275	679.575
599.403	684.692
599.531	687.808
599.660	683.092
599.788	685.350
599.916	682.925
600.044	681.533
600.172	683.908
600.300	687.158
600.428	690.017
600.556	692.175
600.685	690.108
600.813	689.908
600.941	699.300
601.069	698.483
601.197	701.450
601.325	693.175
601.453	700.808
601.581	701.900
601.710	703.325
601.838	705.975
601.966	700.417
602.094	707.883
602.222	707.200
602.350	706.233
602.478	706.883
602.606	711.858
602.735	714.158
602.863	716.858
602.991	715.458
603.119	720.517
603.247	721.092
603.375	717.167
603.503	718.142
603.631	727.892
603.760	723.817
603.888	727.425
604.016	725.433
604.144	734.083
604.272	731.867
604.400	733.225
604.528	732.942
604.656	735.508
604.785	732.508
604.913	743.608
605.041	741.325
605.169	739.083
605.297	741.233
605.425	747.825
605.553	742.500
605.681	745.133
605.810	748.392
605.938	749.283
606.066	746.667
606.194	747.192
606.322	746.442
606.450	749.225
606.578	753.833
606.706	757.950
606.835	750.925
606.963	758.242
607.091	760.508
607.219	754.850
607.347	751.142
607.475	759.042
607.603	762.842
607.731	762.325
607.860	755.758
607.988	762.400
608.116	758.950
608.244	759.525
608.372	761.867
608.500	760.408
608.628	762.825
608.756	756.967
608.885	763.217
609.013	764.542
609.141	758.908
609.269	769.017
609.397	762.050
609.525	765.675
609.653	754.850
609.781	765.250
609.910	759.900
610.038	760.000
610.166	762.258
610.294	759.067
610.422	767.025
610.550	768.175
610.678	762.400
610.806	767.267
610.935	763.958
611.063	766.875
611.191	766.842
611.319	761.767
611.447	762.750
611.575	765.800
611.703	759.000
611.831	769.517
611.960	765.167
612.088	759.908
612.216	760.208
612.344	768.100
612.472	763.983
612.600	762.950
612.728	758.600
612.856	762.250
612.985	760.383
613.113	765.983
613.241	759.825
613.369	764.033
613.497	768.108
613.625	764.342
613.753	760.475
613.881	760.925
614.010	765.008
614.138	759.242
614.266	764.675
614.394	765.250
614.522	765.042
614.650	774.558
614.778	768.917
614.906	766.667
615.035	773.442
615.163	764.667
615.291	775.642
615.419	769.483
615.547	766.292
615.675	767.883
615.803	774.800
615.931	784.900
616.060	779.908
616.188	777.617
616.316	771.192
616.444	764.342
616.572	776.283
616.700	777.175
616.828	787.292
616.956	786.617
617.085	790.792
617.213	780.408
617.341	782.175
617.469	778.133
617.597	790.150
617.725	782.583
617.853	783.642
617.981	791.633
618.110	797.708
618.238	799.917
618.366	801.617
618.494	799.300
618.622	797.217
618.750	797.200
618.878	797.558
619.006	797.683
619.135	800.583
619.263	801.442
619.391	807.475
619.519	808.217
619.647	819.042
619.775	807.908
619.903	811.550
620.031	821.000
620.160	816.008
620.288	812.133
620.416	822.783
