90-70-90_at_679.99nm_cut_at_1276.00Y_01.dat
24.01.2024
13:25:09
cut middle at Y: 1276.00
top cursor: 1337 down cursor: 1215 mean of: 122 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	530.000
516.122	501.672
516.250	495.672
516.378	486.631
516.506	489.459
516.635	487.607
516.763	492.984
516.891	490.746
517.019	501.648
517.147	493.484
517.275	496.877
517.403	492.779
517.531	491.746
517.660	488.492
517.788	491.820
517.916	494.434
518.044	489.705
518.172	492.008
518.300	496.951
518.428	489.967
518.556	492.131
518.685	495.279
518.813	495.057
518.941	500.697
519.069	498.066
519.197	496.320
519.325	504.246
519.453	499.721
519.581	507.098
519.710	496.943
519.838	500.607
519.966	499.811
520.094	494.697
520.222	502.369
520.350	502.041
520.478	506.352
520.606	507.697
520.735	504.943
520.863	504.730
520.991	515.475
521.119	504.254
521.247	508.885
521.375	510.844
521.503	515.213
521.631	510.893
521.760	516.361
521.888	515.025
522.016	519.992
522.144	513.975
522.272	524.492
522.400	522.090
522.528	522.336
522.656	517.664
522.785	520.008
522.913	523.008
523.041	522.762
523.169	517.525
523.297	529.230
523.425	527.123
523.553	526.492
523.681	522.344
523.810	524.139
523.938	535.172
524.066	525.303
524.194	528.008
524.322	527.303
524.450	528.262
524.578	528.484
524.706	528.746
524.835	522.262
524.963	528.689
525.091	525.410
525.219	524.197
525.347	522.885
525.475	523.697
525.603	530.598
525.731	517.082
525.860	527.803
525.988	522.533
526.116	526.025
526.244	523.959
526.372	522.205
526.500	525.697
526.628	534.631
526.756	525.672
526.885	527.074
527.013	519.754
527.141	528.066
527.269	528.000
527.397	530.172
527.525	530.689
527.653	526.221
527.781	522.295
527.910	533.705
528.038	535.131
528.166	527.328
528.294	526.902
528.422	530.828
528.550	532.279
528.678	533.795
528.806	535.762
528.935	532.820
529.063	532.221
529.191	530.852
529.319	531.615
529.447	535.910
529.575	536.148
529.703	538.402
529.831	536.344
529.960	540.533
530.088	541.680
530.216	540.131
530.344	537.959
530.472	544.951
530.600	546.648
530.728	543.959
530.856	542.992
530.985	541.279
531.113	543.254
531.241	548.803
531.369	547.582
531.497	542.525
531.625	546.533
531.753	549.098
531.881	543.090
532.010	539.820
532.138	546.779
532.266	540.918
532.394	542.377
532.522	543.582
532.650	546.205
532.778	550.787
532.906	543.484
533.035	547.197
533.163	541.385
533.291	541.443
533.419	539.820
533.547	540.680
533.675	543.131
533.803	539.303
533.931	541.893
534.060	544.828
534.188	543.295
534.316	541.721
534.444	539.967
534.572	539.189
534.700	539.230
534.828	537.656
534.956	541.311
535.085	544.803
535.213	534.705
535.341	542.820
535.469	542.844
535.597	545.213
535.725	546.926
535.853	548.180
535.981	544.885
536.110	545.689
536.238	553.156
536.366	550.672
536.494	547.459
536.622	552.598
536.750	548.385
536.878	556.557
537.006	557.869
537.135	553.918
537.263	557.172
537.391	559.934
537.519	560.795
537.647	563.082
537.775	561.016
537.903	560.721
538.031	561.803
538.160	568.680
538.288	562.762
538.416	566.680
538.544	563.295
538.672	564.811
538.800	567.680
538.928	568.738
539.056	575.057
539.185	569.623
539.313	565.844
539.441	572.967
539.569	572.320
539.697	572.246
539.825	573.738
539.953	573.803
540.081	568.008
540.210	571.664
540.338	576.418
540.466	578.475
540.594	575.803
540.722	575.574
540.850	572.943
540.978	573.721
541.106	577.295
541.235	574.746
541.363	573.033
541.491	574.295
541.619	574.066
541.747	573.148
541.875	572.656
542.003	570.205
542.131	570.680
542.260	574.762
542.388	570.795
542.516	572.197
542.644	579.082
542.772	580.680
542.900	572.844
543.028	575.361
543.156	574.262
543.285	575.689
543.413	573.598
543.541	580.934
543.669	573.270
543.797	573.631
543.925	578.721
544.053	573.385
544.181	574.467
544.310	578.451
544.438	574.320
544.566	571.615
544.694	579.303
544.822	578.680
544.950	580.697
545.078	575.516
545.206	579.779
545.335	584.492
545.463	573.943
545.591	582.525
545.719	577.877
545.847	581.762
545.975	577.443
546.103	576.008
546.231	580.787
546.360	579.975
546.488	586.107
546.616	584.311
546.744	583.852
546.872	582.893
547.000	584.033
547.128	587.795
547.256	580.303
547.385	586.098
547.513	583.279
547.641	592.484
547.769	589.721
547.897	586.672
548.025	593.648
548.153	592.352
548.281	588.533
548.410	587.320
548.538	586.984
548.666	588.443
548.794	583.803
548.922	589.238
549.050	595.803
549.178	586.189
549.306	590.410
549.435	596.008
549.563	588.943
549.691	589.664
549.819	593.016
549.947	595.328
550.075	593.156
550.203	589.107
550.331	586.090
550.460	589.721
550.588	597.639
550.716	599.066
550.844	590.975
550.972	592.025
551.100	584.451
551.228	589.861
551.356	589.492
551.485	591.426
551.613	590.033
551.741	585.303
551.869	583.492
551.997	583.303
552.125	583.836
552.253	580.426
552.381	577.631
552.510	576.795
552.638	576.631
552.766	577.066
552.894	573.877
553.022	578.984
553.150	575.795
553.278	577.984
553.406	574.156
553.535	571.475
553.663	569.705
553.791	572.992
553.919	570.648
554.047	571.426
554.175	571.377
554.303	570.754
554.431	564.287
554.560	572.082
554.688	573.672
554.816	567.959
554.944	568.270
555.072	563.877
555.200	569.549
555.328	566.279
555.456	575.623
555.585	573.221
555.713	567.434
555.841	576.328
555.969	576.721
556.097	575.451
556.225	572.139
556.353	572.008
556.481	566.836
556.610	575.230
556.738	579.049
