90-110-0_at_679.99nm_cut_at_1250.00Y_01.dat
24.01.2024
13:31:02
cut middle at Y: 1250.00
top cursor: 1310 down cursor: 1190 mean of: 120 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	283.900
516.122	272.425
516.250	268.475
516.378	265.842
516.506	269.083
516.635	268.742
516.763	273.750
516.891	272.967
517.019	273.133
517.147	270.058
517.275	274.567
517.403	269.442
517.531	272.158
517.660	273.908
517.788	274.942
517.916	276.150
518.044	274.208
518.172	275.108
518.300	273.392
518.428	276.375
518.556	277.425
518.685	275.850
518.813	277.208
518.941	279.567
519.069	276.808
519.197	280.125
519.325	279.233
519.453	280.433
519.581	283.575
519.710	280.708
519.838	282.992
519.966	280.267
520.094	284.883
520.222	280.808
520.350	283.008
520.478	283.267
520.606	285.050
520.735	284.500
520.863	287.133
520.991	285.642
521.119	286.867
521.247	288.625
521.375	288.508
521.503	291.325
521.631	294.450
521.760	288.250
521.888	290.133
522.016	294.867
522.144	291.033
522.272	292.800
522.400	297.633
522.528	301.083
522.656	293.683
522.785	296.633
522.913	298.583
523.041	294.433
523.169	295.300
523.297	297.850
523.425	297.558
523.553	299.800
523.681	295.125
523.810	302.400
523.938	305.467
524.066	298.375
524.194	302.750
524.322	301.867
524.450	296.325
524.578	299.825
524.706	302.200
524.835	300.083
524.963	302.150
525.091	300.358
525.219	302.617
525.347	301.250
525.475	299.050
525.603	300.508
525.731	304.608
525.860	302.583
525.988	302.092
526.116	299.358
526.244	302.375
526.372	302.258
526.500	303.900
526.628	306.708
526.756	303.008
526.885	304.608
527.013	303.192
527.141	304.275
527.269	304.858
527.397	308.550
527.525	308.050
527.653	307.517
527.781	305.258
527.910	306.767
528.038	309.708
528.166	307.017
528.294	304.767
528.422	304.867
528.550	311.117
528.678	309.400
528.806	312.258
528.935	310.708
529.063	312.175
529.191	311.983
529.319	315.208
529.447	314.792
529.575	311.333
529.703	315.183
529.831	313.100
529.960	312.975
530.088	311.733
530.216	318.908
530.344	315.308
530.472	317.167
530.600	315.133
530.728	317.450
530.856	317.008
530.985	315.000
531.113	316.858
531.241	318.175
531.369	315.842
531.497	313.900
531.625	315.842
531.753	315.167
531.881	315.825
532.010	317.375
532.138	317.217
532.266	317.733
532.394	314.308
532.522	317.433
532.650	318.042
532.778	323.442
532.906	319.600
533.035	318.900
533.163	316.083
533.291	314.700
533.419	313.975
533.547	319.833
533.675	317.175
533.803	317.625
533.931	316.692
534.060	316.675
534.188	318.592
534.316	315.558
534.444	314.558
534.572	320.308
534.700	320.617
534.828	318.867
534.956	319.067
535.085	318.767
535.213	320.592
535.341	323.225
535.469	321.642
535.597	323.133
535.725	327.058
535.853	323.758
535.981	322.408
536.110	330.025
536.238	323.933
536.366	328.808
536.494	325.908
536.622	330.850
