70-100-unpol_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:29:54
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	1662.857
516.122	1567.328
516.250	1541.866
516.378	1526.924
516.506	1529.336
516.635	1531.941
516.763	1545.882
516.891	1561.017
517.019	1557.109
517.147	1557.160
517.275	1549.647
517.403	1550.832
517.531	1555.529
517.660	1552.723
517.788	1557.555
517.916	1567.798
518.044	1542.050
518.172	1558.294
518.300	1570.025
518.428	1559.185
518.556	1566.000
518.685	1562.546
518.813	1563.059
518.941	1578.849
519.069	1570.798
519.197	1567.908
519.325	1579.504
519.453	1580.832
519.581	1598.739
519.710	1584.269
519.838	1589.714
519.966	1605.798
520.094	1595.235
520.222	1601.655
520.350	1614.866
520.478	1637.151
520.606	1636.647
520.735	1620.992
520.863	1640.630
520.991	1647.916
521.119	1638.353
521.247	1648.311
521.375	1660.975
521.503	1666.798
521.631	1680.067
521.760	1667.706
521.888	1672.849
522.016	1685.790
522.144	1674.034
522.272	1682.118
522.400	1691.832
522.528	1706.697
522.656	1688.286
522.785	1708.941
522.913	1713.202
523.041	1697.412
523.169	1702.882
523.297	1709.462
523.425	1713.496
523.553	1710.076
523.681	1708.235
523.810	1723.756
523.938	1731.109
524.066	1722.538
524.194	1720.563
524.322	1733.109
524.450	1729.235
524.578	1725.143
524.706	1740.067
524.835	1729.899
524.963	1737.739
525.091	1726.042
525.219	1732.008
525.347	1719.235
525.475	1729.563
525.603	1737.723
525.731	1733.160
525.860	1747.261
525.988	1725.361
526.116	1727.739
526.244	1739.479
526.372	1726.134
526.500	1740.462
526.628	1751.151
526.756	1732.067
526.885	1749.092
527.013	1746.084
527.141	1745.084
527.269	1748.218
527.397	1735.908
527.525	1753.134
527.653	1742.605
527.781	1742.017
527.910	1769.731
528.038	1769.395
528.166	1784.983
528.294	1756.143
528.422	1763.504
528.550	1782.395
528.678	1773.067
528.806	1779.924
528.935	1787.303
529.063	1786.782
529.191	1793.597
529.319	1800.723
529.447	1805.765
529.575	1795.126
529.703	1810.622
529.831	1817.521
529.960	1822.975
530.088	1810.639
530.216	1818.983
530.344	1817.277
530.472	1824.000
530.600	1827.092
530.728	1824.689
530.856	1833.697
530.985	1824.387
531.113	1825.681
531.241	1826.134
531.369	1842.084
531.497	1835.092
531.625	1831.832
531.753	1827.202
531.881	1838.210
532.010	1834.193
532.138	1828.176
532.266	1828.101
532.394	1844.336
532.522	1813.328
532.650	1823.580
532.778	1837.521
532.906	1828.857
533.035	1826.882
533.163	1812.193
533.291	1816.689
533.419	1812.403
533.547	1823.908
533.675	1828.059
533.803	1814.378
533.931	1822.076
534.060	1819.790
534.188	1829.832
534.316	1836.622
534.444	1824.017
534.572	1836.160
534.700	1832.966
534.828	1825.605
534.956	1845.529
535.085	1846.866
535.213	1844.622
535.341	1859.160
535.469	1834.723
535.597	1845.950
535.725	1875.815
535.853	1866.689
535.981	1864.924
536.110	1881.445
536.238	1884.966
536.366	1900.378
536.494	1881.227
536.622	1897.050
536.750	1910.168
536.878	1902.126
537.006	1914.084
537.135	1911.529
537.263	1923.294
537.391	1936.126
537.519	1914.933
537.647	1943.513
537.775	1944.622
537.903	1952.118
538.031	1941.092
538.160	1949.983
538.288	1958.950
538.416	1971.059
538.544	1963.193
538.672	1974.252
538.800	1976.975
538.928	1972.336
539.056	1977.924
539.185	1974.496
539.313	1960.815
539.441	1968.681
539.569	1989.723
539.697	1990.824
539.825	1989.084
539.953	1989.235
540.081	1975.815
540.210	1991.866
540.338	1975.403
540.466	1989.672
540.594	1998.941
540.722	1982.958
540.850	1997.185
540.978	1990.891
541.106	1993.513
541.235	2001.412
541.363	1982.697
541.491	1990.555
541.619	1991.143
541.747	1984.319
541.875	2007.639
542.003	1991.933
542.131	2008.361
542.260	2014.042
542.388	2004.252
542.516	2005.252
542.644	2004.210
542.772	2012.731
542.900	2017.496
543.028	2022.067
543.156	2002.504
543.285	2030.748
543.413	2011.790
543.541	2016.882
543.669	2029.345
543.797	2018.353
543.925	2010.824
544.053	2034.723
544.181	2020.563
544.310	2016.513
544.438	2034.529
544.566	2024.958
544.694	2029.613
544.822	2038.782
544.950	2041.958
545.078	2020.269
545.206	2023.529
545.335	2056.933
545.463	2037.622
545.591	2020.824
545.719	2038.252
545.847	2044.454
545.975	2050.017
546.103	2036.420
546.231	2052.059
546.360	2043.975
546.488	2039.084
546.616	2046.084
546.744	2059.319
546.872	2047.832
547.000	2058.790
547.128	2046.882
547.256	2049.832
547.385	2031.227
547.513	2037.765
547.641	2057.311
547.769	2059.336
547.897	2064.496
548.025	2061.529
548.153	2066.933
548.281	2045.042
548.410	2068.807
548.538	2066.454
548.666	2062.983
548.794	2064.714
548.922	2060.916
549.050	2072.479
549.178	2073.101
549.306	2080.067
549.435	2078.529
549.563	2069.025
549.691	2060.000
549.819	2084.176
549.947	2091.202
550.075	2067.109
550.203	2080.983
550.331	2075.773
550.460	2077.269
550.588	2076.034
550.716	2084.126
550.844	2080.336
550.972	2060.588
551.100	2072.445
551.228	2074.824
551.356	2066.706
551.485	2055.756
551.613	2057.496
551.741	2049.714
551.869	2048.151
551.997	2044.336
552.125	2056.160
552.253	2041.739
552.381	2024.471
552.510	2040.916
552.638	2035.672
552.766	2032.370
552.894	2036.445
553.022	2022.605
553.150	2023.017
553.278	2033.765
553.406	2024.017
553.535	2011.504
553.663	2021.471
553.791	2028.143
553.919	2018.664
554.047	2032.983
554.175	2016.034
554.303	2014.261
554.431	2003.042
554.560	2010.689
554.688	2034.277
554.816	2007.336
554.944	2017.622
555.072	2015.739
555.200	2010.748
555.328	2022.941
555.456	2023.950
555.585	2037.429
555.713	2027.437
555.841	2034.521
555.969	2022.462
556.097	2043.176
556.225	2036.445
556.353	2043.134
556.481	2037.798
556.610	2044.916
556.738	2063.277
556.866	2055.050
556.994	2052.966
557.122	2035.471
557.250	2063.076
557.378	2054.622
557.506	2052.933
557.635	2067.160
557.763	2073.866
557.891	2087.109
558.019	2068.714
558.147	2078.008
558.275	2072.462
558.403	2089.050
558.531	2067.092
558.660	2084.731
558.788	2076.765
558.916	2107.420
559.044	2089.160
559.172	2089.235
559.300	2106.017
559.428	2103.134
559.556	2085.387
559.685	2101.504
559.813	2094.286
559.941	2097.277
560.069	2097.395
560.197	2096.731
560.325	2098.118
560.453	2090.815
560.581	2090.874
560.710	2098.479
560.838	2097.639
560.966	2093.227
561.094	2114.782
561.222	2088.933
561.350	2093.277
561.478	2088.050
561.606	2104.899
561.735	2084.605
561.863	2090.630
561.991	2071.504
562.119	2083.513
562.247	2072.882
562.375	2077.958
562.503	2077.798
562.631	2065.756
562.760	2070.437
562.888	2078.387
563.016	2069.681
563.144	2072.160
563.272	2063.546
563.400	2063.218
563.528	2064.277
563.656	2081.092
563.785	2068.303
563.913	2076.420
564.041	2054.092
564.169	2067.034
564.297	2061.042
564.425	2074.000
564.553	2102.622
564.681	2079.983
564.810	2075.328
564.938	2076.714
565.066	2067.555
565.194	2093.269
565.322	2092.109
565.450	2085.723
565.578	2096.101
565.706	2084.244
565.835	2095.076
565.963	2092.361
566.091	2091.807
566.219	2110.672
566.347	2107.101
566.475	2099.689
566.603	2109.908
566.731	2107.681
566.860	2117.353
566.988	2110.891
567.116	2141.824
567.244	2137.706
567.372	2139.319
567.500	2140.403
567.628	2131.555
567.756	2133.202
567.885	2143.420
568.013	2168.193
568.141	2151.958
568.269	2149.714
568.397	2161.076
568.525	2163.294
568.653	2174.244
568.781	2177.151
568.910	2191.504
569.038	2186.647
569.166	2189.151
569.294	2194.756
569.422	2201.252
569.550	2181.202
569.678	2203.412
569.806	2214.311
569.935	2228.454
570.063	2215.286
570.191	2238.000
570.319	2230.025
570.447	2235.966
570.575	2225.462
570.703	2231.471
570.831	2250.353
570.960	2245.067
571.088	2251.261
571.216	2227.092
571.344	2247.429
571.472	2248.697
571.600	2270.857
571.728	2249.672
571.856	2256.866
571.985	2263.571
572.113	2278.941
572.241	2271.563
572.369	2291.756
572.497	2261.546
572.625	2280.336
572.753	2266.689
572.881	2274.992
573.010	2285.815
573.138	2306.840
573.266	2293.109
573.394	2293.345
573.522	2302.387
573.650	2300.588
573.778	2289.042
573.906	2293.420
574.035	2304.277
574.163	2323.067
574.291	2323.546
574.419	2311.992
574.547	2314.933
574.675	2334.613
574.803	2313.513
574.931	2303.227
575.060	2327.370
575.188	2328.790
575.316	2327.437
575.444	2324.807
575.572	2330.000
575.700	2311.529
575.828	2326.933
575.956	2324.529
576.085	2318.017
576.213	2328.975
576.341	2315.445
576.469	2332.143
576.597	2308.538
576.725	2323.866
576.853	2319.471
576.981	2323.773
577.110	2322.445
577.238	2340.437
577.366	2317.916
577.494	2321.882
577.622	2317.857
577.750	2307.815
577.878	2326.378
578.006	2347.857
578.135	2326.966
578.263	2324.882
578.391	2345.672
578.519	2339.613
578.647	2362.328
578.775	2328.479
578.903	2321.807
579.031	2334.218
579.160	2330.387
579.288	2328.151
579.416	2318.445
579.544	2363.748
579.672	2328.613
579.800	2339.899
579.928	2313.076
580.056	2329.983
580.185	2336.160
580.313	2344.176
580.441	2358.202
580.569	2356.790
580.697	2330.176
580.825	2358.336
580.953	2385.899
581.081	2368.840
581.210	2380.000
581.338	2369.697
581.466	2383.168
581.594	2391.126
581.722	2400.697
581.850	2387.429
581.978	2389.008
582.106	2388.681
582.235	2399.832
582.363	2389.647
582.491	2414.445
582.619	2423.067
582.747	2423.655
582.875	2417.588
583.003	2431.958
583.131	2452.101
583.260	2461.227
583.388	2456.479
583.516	2483.311
583.644	2472.849
583.772	2477.882
583.900	2485.992
584.028	2494.261
584.156	2495.908
584.285	2516.866
584.413	2500.202
584.541	2533.555
584.669	2531.807
584.797	2541.815
584.925	2542.176
585.053	2552.168
585.181	2563.445
585.310	2571.849
585.438	2566.605
585.566	2559.050
585.694	2581.605
585.822	2582.588
585.950	2587.454
586.078	2597.664
586.206	2608.143
586.335	2604.815
586.463	2636.319
586.591	2654.235
586.719	2654.252
586.847	2650.714
586.975	2647.412
587.103	2646.017
587.231	2652.824
587.360	2655.479
587.488	2653.168
587.616	2652.882
587.744	2677.697
587.872	2666.765
588.000	2675.118
588.128	2676.319
588.256	2681.958
