Lampe_Signal_90_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:22:37
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	379.847
516.122	360.551
516.250	354.602
516.378	349.788
516.506	351.161
516.635	352.619
516.763	353.551
516.891	355.619
517.019	359.297
517.147	353.873
517.275	355.085
517.403	352.788
517.531	355.831
517.660	356.085
517.788	351.000
517.916	360.110
518.044	353.737
518.172	354.941
518.300	349.847
518.428	357.127
518.556	352.364
518.685	353.025
518.813	355.102
518.941	354.941
519.069	360.525
519.197	358.373
519.325	361.449
519.453	357.475
519.581	360.458
519.710	355.483
519.838	361.458
519.966	356.500
520.094	363.517
520.222	361.068
520.350	364.127
520.478	365.737
520.606	361.508
520.735	364.144
520.863	367.839
520.991	369.508
521.119	362.008
521.247	372.568
521.375	370.178
521.503	370.763
521.631	369.356
521.760	370.873
521.888	371.398
522.016	374.932
522.144	374.907
522.272	372.898
522.400	374.831
522.528	377.492
522.656	375.407
522.785	377.636
522.913	377.559
523.041	376.076
523.169	375.839
523.297	374.508
523.425	380.678
523.553	380.153
523.681	374.992
523.810	381.847
523.938	382.644
524.066	377.788
524.194	378.729
524.322	382.119
524.450	373.178
524.578	376.653
524.706	382.915
524.835	376.797
524.963	382.093
525.091	377.771
525.219	376.390
525.347	373.669
525.475	377.661
525.603	382.780
525.731	375.500
525.860	379.110
525.988	375.669
526.116	375.941
526.244	379.475
526.372	374.568
526.500	379.661
526.628	380.695
526.756	379.636
526.885	380.559
527.013	377.585
527.141	382.102
527.269	378.297
527.397	384.076
527.525	382.271
527.653	378.644
527.781	377.102
527.910	385.703
528.038	388.059
528.166	381.890
528.294	376.975
528.422	383.500
528.550	385.000
528.678	383.144
528.806	386.780
528.935	388.449
529.063	385.551
529.191	384.034
529.319	387.076
529.447	388.678
529.575	389.551
529.703	386.932
529.831	388.153
529.960	390.195
530.088	392.407
530.216	391.246
530.344	386.669
530.472	393.839
530.600	395.542
530.728	389.153
530.856	396.983
530.985	398.729
531.113	392.814
531.241	395.653
531.369	393.237
531.497	398.508
531.625	394.856
531.753	391.220
531.881	397.322
532.010	395.873
532.138	393.873
532.266	391.042
532.394	393.017
532.522	390.119
532.650	394.169
532.778	398.339
532.906	395.271
533.035	395.059
533.163	391.051
533.291	396.559
533.419	397.814
533.547	398.034
533.675	392.161
533.803	394.958
533.931	392.907
534.060	391.246
534.188	396.305
534.316	394.568
534.444	395.449
534.572	398.339
534.700	391.958
534.828	395.856
534.956	397.822
535.085	391.898
535.213	399.000
535.341	392.831
535.469	394.119
535.597	396.220
535.725	396.508
535.853	396.949
535.981	397.381
536.110	402.161
536.238	399.568
536.366	403.153
536.494	398.797
536.622	407.153
536.750	398.763
536.878	402.407
537.006	403.364
537.135	403.017
537.263	403.186
537.391	408.975
537.519	405.831
537.647	405.780
537.775	402.008
537.903	407.805
538.031	405.949
538.160	404.788
538.288	409.331
538.416	407.678
538.544	411.093
538.672	407.339
538.800	407.669
538.928	411.398
539.056	412.322
539.185	410.475
539.313	407.280
539.441	412.669
539.569	412.771
539.697	410.542
539.825	413.119
539.953	405.941
540.081	405.212
540.210	413.161
540.338	413.220
540.466	412.593
540.594	412.508
540.722	407.364
540.850	413.907
540.978	408.407
541.106	413.881
541.235	414.695
541.363	408.814
541.491	409.610
541.619	411.661
541.747	408.102
541.875	410.610
542.003	408.407
542.131	406.483
542.260	412.237
542.388	409.822
542.516	413.720
542.644	415.737
542.772	410.297
542.900	411.653
543.028	409.644
543.156	406.195
543.285	409.203
543.413	411.297
543.541	409.212
543.669	410.110
543.797	410.119
543.925	412.831
544.053	408.449
544.181	411.593
544.310	410.483
544.438	411.347
544.566	412.263
544.694	410.610
544.822	410.992
544.950	414.797
545.078	414.559
545.206	411.805
545.335	413.008
545.463	413.136
545.591	415.398
545.719	415.356
545.847	413.932
545.975	410.627
546.103	412.661
546.231	411.212
546.360	414.136
546.488	417.415
546.616	418.763
546.744	418.542
546.872	412.958
547.000	416.669
547.128	412.873
547.256	417.678
547.385	413.195
547.513	416.458
547.641	417.373
547.769	421.076
547.897	413.093
548.025	421.085
548.153	417.517
548.281	417.890
548.410	417.492
548.538	419.712
548.666	415.195
548.794	413.983
548.922	414.542
549.050	421.805
549.178	415.025
549.306	423.339
549.435	425.788
549.563	416.593
549.691	411.161
549.819	421.636
549.947	418.068
550.075	414.932
550.203	420.314
550.331	419.576
550.460	419.695
550.588	417.051
550.716	421.729
550.844	419.780
550.972	415.797
551.100	409.602
551.228	415.025
551.356	411.144
551.485	411.441
551.613	414.229
551.741	403.373
551.869	407.322
551.997	410.686
552.125	411.424
552.253	409.907
552.381	407.475
552.510	403.381
552.638	407.127
552.766	405.949
552.894	405.415
553.022	405.220
553.150	404.025
553.278	405.881
553.406	404.119
553.535	402.398
553.663	399.627
553.791	397.220
553.919	402.008
554.047	404.517
554.175	401.051
554.303	398.144
554.431	397.958
554.560	396.729
554.688	404.314
554.816	403.051
554.944	401.551
555.072	403.390
555.200	402.831
555.328	400.449
555.456	401.898
555.585	401.229
555.713	402.068
555.841	403.110
555.969	402.322
556.097	409.076
556.225	408.025
556.353	407.008
556.481	405.941
556.610	407.534
556.738	408.627
556.866	406.119
556.994	406.551
557.122	404.136
557.250	408.915
557.378	405.466
557.506	409.814
557.635	407.127
557.763	406.847
557.891	410.059
558.019	405.695
558.147	410.636
558.275	408.610
558.403	410.983
558.531	409.449
558.660	407.364
558.788	413.203
558.916	409.415
559.044	405.220
559.172	405.644
559.300	412.534
559.428	410.441
559.556	408.881
559.685	409.203
559.813	408.686
559.941	408.958
560.069	412.373
560.197	408.864
560.325	407.932
560.453	411.025
560.581	407.627
560.710	405.593
560.838	410.076
560.966	407.068
561.094	407.364
561.222	407.364
561.350	402.737
561.478	401.873
561.606	407.703
561.735	405.415
561.863	401.466
561.991	407.907
562.119	400.254
562.247	401.483
562.375	403.297
562.503	400.000
562.631	400.839
562.760	400.856
562.888	401.915
563.016	401.695
563.144	404.297
563.272	396.619
563.400	398.661
563.528	398.712
563.656	399.619
563.785	400.534
563.913	391.966
564.041	395.356
564.169	394.856
564.297	395.695
564.425	397.585
564.553	397.686
564.681	394.102
564.810	396.212
564.938	403.449
565.066	399.407
565.194	397.407
565.322	398.627
565.450	399.076
565.578	396.941
565.706	393.958
565.835	397.424
565.963	395.712
566.091	393.729
566.219	398.669
566.347	399.695
566.475	400.110
566.603	398.068
566.731	396.864
566.860	403.398
566.988	396.008
567.116	397.949
567.244	397.517
567.372	401.508
567.500	396.898
567.628	395.729
567.756	403.466
567.885	402.136
568.013	403.017
568.141	403.585
568.269	399.712
568.397	400.881
568.525	400.085
568.653	404.915
568.781	406.695
568.910	406.839
569.038	404.068
569.166	402.966
569.294	403.627
569.422	410.042
569.550	403.568
569.678	403.458
569.806	413.712
569.935	412.932
570.063	413.212
570.191	414.932
570.319	413.280
570.447	411.847
570.575	412.831
570.703	409.678
570.831	413.864
570.960	409.966
