70-100-90_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:30:51
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	690.723
516.122	643.840
516.250	642.908
516.378	630.588
516.506	633.479
516.635	632.420
516.763	639.210
516.891	638.454
517.019	641.689
517.147	639.563
517.275	638.899
517.403	640.227
517.531	641.756
517.660	632.034
517.788	637.134
517.916	640.000
518.044	633.319
518.172	645.555
518.300	640.017
518.428	642.891
518.556	640.546
518.685	637.815
518.813	645.286
518.941	649.471
519.069	643.328
519.197	645.336
519.325	651.832
519.453	642.437
519.581	654.857
519.710	652.412
519.838	656.916
519.966	649.420
520.094	656.235
520.222	651.891
520.350	655.437
520.478	664.092
520.606	673.555
520.735	653.563
520.863	669.933
520.991	672.681
521.119	665.882
521.247	670.387
521.375	675.437
521.503	673.403
521.631	676.345
521.760	669.328
521.888	675.277
522.016	682.756
522.144	677.101
522.272	681.605
522.400	682.874
522.528	687.748
522.656	678.395
522.785	688.361
522.913	691.849
523.041	687.992
523.169	681.983
523.297	684.563
523.425	689.748
523.553	691.613
523.681	686.588
523.810	690.210
523.938	694.521
524.066	687.429
524.194	693.958
524.322	690.647
524.450	690.017
524.578	684.563
524.706	695.395
524.835	690.261
524.963	692.118
525.091	685.546
525.219	697.076
525.347	689.143
525.475	701.748
525.603	690.168
525.731	691.269
525.860	690.244
525.988	687.597
526.116	688.664
526.244	696.328
526.372	688.244
526.500	691.664
526.628	701.824
526.756	687.403
526.885	697.832
527.013	695.487
527.141	691.882
527.269	696.353
527.397	695.681
527.525	701.437
527.653	697.017
527.781	692.311
527.910	703.874
528.038	705.395
528.166	705.689
528.294	702.445
528.422	702.395
528.550	705.782
528.678	708.143
528.806	704.849
528.935	712.412
529.063	711.160
529.191	709.840
529.319	710.815
529.447	712.151
529.575	712.958
529.703	718.000
529.831	722.756
529.960	721.109
530.088	722.941
530.216	720.697
530.344	719.261
530.472	725.437
530.600	722.605
530.728	727.151
530.856	729.487
530.985	728.042
531.113	722.151
531.241	728.958
531.369	730.277
531.497	730.529
531.625	727.916
531.753	731.378
531.881	727.059
532.010	729.387
532.138	730.420
532.266	727.193
532.394	726.882
532.522	723.857
532.650	736.445
532.778	731.487
532.906	724.689
533.035	737.916
533.163	720.126
533.291	723.748
533.419	723.017
533.547	729.227
533.675	724.361
533.803	724.025
533.931	724.748
534.060	720.824
534.188	729.101
534.316	725.218
534.444	723.807
534.572	722.361
534.700	725.210
534.828	727.311
534.956	736.546
535.085	733.134
535.213	737.924
535.341	735.571
535.469	730.798
535.597	735.824
535.725	735.941
535.853	744.361
535.981	736.681
536.110	748.697
536.238	746.050
536.366	756.714
536.494	748.924
536.622	751.134
536.750	745.076
536.878	750.261
537.006	760.294
537.135	756.529
537.263	752.840
537.391	754.143
537.519	750.840
537.647	760.445
537.775	756.571
537.903	763.454
538.031	765.487
538.160	760.067
538.288	762.118
538.416	770.151
538.544	767.151
538.672	765.429
538.800	770.176
538.928	772.756
539.056	774.546
539.185	775.538
539.313	768.992
539.441	774.025
539.569	771.723
539.697	777.563
539.825	774.487
539.953	772.235
540.081	768.739
540.210	772.622
540.338	771.176
540.466	776.067
540.594	773.563
540.722	763.471
540.850	776.185
540.978	781.655
541.106	774.916
541.235	778.748
541.363	777.143
541.491	777.655
541.619	773.529
541.747	772.773
541.875	777.261
542.003	775.807
542.131	778.059
542.260	781.151
542.388	775.076
542.516	776.882
542.644	783.336
542.772	779.739
542.900	777.756
543.028	772.303
543.156	780.109
543.285	779.269
543.413	783.387
543.541	785.798
543.669	789.529
543.797	789.605
543.925	782.336
544.053	789.790
544.181	782.882
544.310	783.059
544.438	781.748
544.566	781.252
544.694	790.261
544.822	789.622
544.950	789.050
545.078	792.050
545.206	791.008
545.335	797.580
545.463	787.487
545.591	791.933
545.719	791.454
545.847	793.916
545.975	796.210
546.103	792.580
546.231	800.000
546.360	795.437
546.488	797.672
546.616	799.412
546.744	802.941
546.872	794.807
547.000	802.000
547.128	797.706
547.256	800.924
547.385	799.958
547.513	800.832
547.641	804.076
547.769	812.580
547.897	804.269
548.025	803.874
548.153	811.958
548.281	804.084
548.410	810.824
548.538	810.966
548.666	808.706
548.794	810.471
548.922	809.361
549.050	809.437
549.178	810.529
549.306	810.345
549.435	817.891
549.563	807.420
549.691	807.244
549.819	815.042
549.947	822.059
550.075	814.983
550.203	804.143
550.331	810.605
550.460	813.412
550.588	808.034
550.716	813.454
550.844	804.933
550.972	802.941
551.100	802.311
551.228	807.370
551.356	800.504
551.485	806.429
551.613	801.134
551.741	795.303
551.869	795.773
551.997	793.958
552.125	793.118
552.253	792.101
552.381	788.916
552.510	789.916
552.638	780.874
552.766	793.605
552.894	785.950
553.022	790.034
553.150	787.513
553.278	784.513
553.406	772.462
553.535	780.151
553.663	785.050
553.791	782.235
553.919	778.387
554.047	791.134
554.175	785.731
554.303	779.613
554.431	770.975
554.560	786.420
554.688	789.605
554.816	784.092
554.944	788.227
555.072	782.513
555.200	789.664
555.328	781.042
555.456	794.395
555.585	782.714
555.713	789.445
555.841	797.437
555.969	795.874
556.097	794.866
556.225	802.487
556.353	802.706
556.481	794.378
556.610	809.017
556.738	804.555
556.866	804.672
556.994	796.328
557.122	794.950
557.250	803.672
557.378	808.521
557.506	804.017
557.635	803.521
557.763	812.546
557.891	814.420
558.019	805.261
558.147	814.261
558.275	813.176
558.403	817.235
558.531	817.521
558.660	808.975
558.788	823.882
558.916	820.891
559.044	813.151
559.172	817.370
559.300	824.202
559.428	824.134
559.556	819.336
559.685	823.395
559.813	823.983
559.941	823.857
560.069	830.067
560.197	832.908
560.325	830.664
560.453	824.092
560.581	825.521
560.710	829.950
560.838	823.336
560.966	820.084
561.094	830.303
561.222	827.605
561.350	826.924
561.478	816.798
561.606	825.160
561.735	822.773
561.863	819.496
561.991	825.370
562.119	815.025
562.247	820.437
562.375	814.950
562.503	818.109
562.631	819.723
562.760	819.840
562.888	821.714
563.016	818.950
563.144	821.269
563.272	811.361
563.400	816.143
563.528	808.420
563.656	819.882
563.785	818.672
563.913	812.202
564.041	810.403
564.169	819.983
564.297	814.546
564.425	810.882
564.553	821.479
564.681	817.000
564.810	813.655
564.938	818.975
565.066	809.286
565.194	817.639
565.322	821.008
565.450	821.849
565.578	814.563
565.706	818.109
565.835	819.832
565.963	816.681
566.091	821.059
566.219	819.739
566.347	815.950
566.475	818.983
566.603	827.538
566.731	825.109
566.860	823.840
566.988	823.891
567.116	838.504
567.244	828.176
567.372	842.252
567.500	844.345
567.628	837.134
567.756	833.756
567.885	843.933
568.013	848.235
568.141	843.109
568.269	840.773
568.397	836.807
568.525	841.487
568.653	856.933
568.781	851.445
568.910	865.269
569.038	859.706
569.166	857.387
569.294	855.076
569.422	860.782
569.550	851.992
569.678	857.563
569.806	870.731
569.935	862.134
