90-140-unpol_at_679.99nm_cut_at_1253.50Y_01.dat
24.01.2024
13:33:47
cut middle at Y: 1253.50
top cursor: 1317 down cursor: 1190 mean of: 127 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	828.118
516.122	788.465
516.250	772.772
516.378	767.780
516.506	769.787
516.635	766.181
516.763	779.457
516.891	780.480
517.019	779.063
517.147	778.228
517.275	776.551
517.403	779.866
517.531	778.638
517.660	781.945
517.788	779.992
517.916	788.756
518.044	779.268
518.172	787.283
518.300	789.835
518.428	778.165
518.556	787.559
518.685	789.213
518.813	790.567
518.941	792.173
519.069	792.661
519.197	785.850
519.325	796.071
519.453	793.252
519.581	802.701
519.710	799.858
519.838	798.693
519.966	807.874
520.094	803.173
520.222	809.795
520.350	812.732
520.478	811.591
520.606	810.835
520.735	814.614
520.863	817.173
520.991	823.622
521.119	819.110
521.247	827.858
521.375	828.724
521.503	836.520
521.631	832.378
521.760	829.717
521.888	836.157
522.016	838.496
522.144	832.661
522.272	840.724
522.400	842.512
522.528	852.992
522.656	851.709
522.785	854.150
522.913	852.976
523.041	847.441
523.169	854.732
523.297	851.016
523.425	859.433
523.553	852.843
523.681	850.394
523.810	865.039
523.938	869.606
524.066	858.520
524.194	867.496
524.322	862.937
524.450	868.433
524.578	861.457
524.706	861.819
524.835	860.543
524.963	868.402
525.091	857.134
525.219	863.087
525.347	849.929
525.475	863.031
525.603	867.961
525.731	867.000
525.860	866.795
525.988	859.063
526.116	856.173
526.244	864.213
526.372	854.843
526.500	863.717
526.628	870.504
526.756	865.598
526.885	860.150
527.013	864.693
527.141	868.071
527.269	858.449
527.397	867.480
527.525	872.213
527.653	865.205
527.781	859.008
527.910	873.000
528.038	878.866
528.166	880.850
528.294	884.047
528.422	878.055
528.550	882.898
528.678	877.850
528.806	884.976
528.935	883.079
529.063	889.110
529.191	883.559
529.319	888.504
529.447	889.055
529.575	887.449
529.703	885.961
529.831	899.520
529.960	894.969
530.088	893.858
530.216	898.906
530.344	898.331
530.472	898.236
530.600	905.843
530.728	902.276
530.856	907.197
530.985	904.913
531.113	892.142
531.241	907.811
531.369	905.378
531.497	905.189
531.625	901.417
531.753	900.173
531.881	911.614
532.010	910.685
532.138	902.252
532.266	903.008
532.394	904.748
532.522	899.016
532.650	905.480
532.778	901.197
532.906	902.882
533.035	911.630
533.163	898.402
533.291	904.000
533.419	890.378
533.547	901.661
533.675	904.283
533.803	894.008
533.931	898.961
534.060	899.937
534.188	902.339
534.316	909.291
534.444	897.740
534.572	901.142
534.700	908.063
534.828	899.039
534.956	912.244
535.085	912.835
535.213	913.748
535.341	916.866
535.469	910.795
535.597	912.260
535.725	918.244
535.853	920.315
535.981	914.291
536.110	928.803
536.238	930.850
536.366	935.024
536.494	920.764
536.622	928.882
536.750	927.150
536.878	937.220
537.006	934.181
537.135	933.118
537.263	938.252
537.391	948.496
537.519	941.906
537.647	952.165
537.775	946.937
537.903	955.236
538.031	949.819
538.160	954.945
538.288	967.528
538.416	957.441
538.544	951.528
538.672	960.449
538.800	963.709
538.928	962.315
539.056	963.299
539.185	970.173
539.313	956.543
539.441	966.339
539.569	969.803
539.697	967.921
539.825	969.756
539.953	963.173
540.081	960.724
540.210	968.583
540.338	966.441
540.466	975.654
540.594	968.189
540.722	962.811
540.850	974.953
540.978	973.984
541.106	974.134
541.235	975.850
541.363	965.457
541.491	971.449
541.619	963.701
541.747	967.094
541.875	973.244
542.003	970.362
542.131	973.606
542.260	979.606
542.388	969.504
542.516	976.906
542.644	981.150
542.772	972.150
542.900	972.535
543.028	976.039
543.156	981.417
543.285	977.882
543.413	980.693
543.541	976.827
543.669	986.465
543.797	984.339
543.925	979.843
544.053	986.409
544.181	978.512
544.310	982.961
544.438	978.520
544.566	983.157
544.694	986.205
544.822	985.976
544.950	978.394
545.078	983.071
545.206	980.780
545.335	982.756
545.463	977.417
545.591	983.795
545.719	980.520
545.847	982.465
545.975	990.606
546.103	976.134
546.231	984.866
546.360	985.213
546.488	984.803
546.616	987.024
546.744	987.969
546.872	982.110
547.000	994.606
547.128	989.874
547.256	991.764
547.385	988.717
547.513	984.236
547.641	987.811
547.769	998.213
547.897	985.654
548.025	988.417
548.153	990.480
548.281	981.252
548.410	983.614
548.538	985.071
548.666	987.244
548.794	984.488
548.922	986.157
549.050	988.819
549.178	987.693
549.306	994.087
549.435	1005.220
549.563	992.299
549.691	988.622
549.819	994.173
549.947	1006.591
550.075	995.134
550.203	1003.646
550.331	985.150
550.460	999.228
550.588	998.803
550.716	1003.929
550.844	984.945
550.972	987.992
551.100	990.748
551.228	990.583
