90-80-0_at_679.99nm_cut_at_1253.00Y_01.dat
24.01.2024
13:26:30
cut middle at Y: 1253.00
top cursor: 1313 down cursor: 1193 mean of: 120 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	878.117
516.122	829.100
516.250	814.492
516.378	815.008
516.506	815.475
516.635	824.950
516.763	827.775
516.891	824.117
517.019	830.533
517.147	832.550
517.275	828.542
517.403	831.533
517.531	821.458
517.660	829.875
517.788	826.550
517.916	833.667
518.044	831.550
518.172	837.292
518.300	832.167
518.428	830.683
518.556	831.683
518.685	827.833
518.813	835.633
518.941	839.450
519.069	841.950
519.197	840.733
519.325	847.758
519.453	835.833
519.581	840.950
519.710	844.542
519.838	846.900
519.966	842.417
520.094	853.425
520.222	847.808
520.350	845.283
520.478	856.383
520.606	859.000
520.735	853.017
520.863	865.792
520.991	860.067
521.119	858.000
521.247	862.283
521.375	872.417
521.503	869.233
521.631	866.292
521.760	873.958
521.888	879.158
522.016	876.425
522.144	879.092
522.272	892.083
522.400	890.150
522.528	890.275
522.656	889.425
522.785	891.083
522.913	891.025
523.041	891.642
523.169	897.350
523.297	895.017
523.425	898.375
523.553	890.692
523.681	904.558
523.810	903.358
523.938	907.833
524.066	898.058
524.194	905.217
524.322	909.208
524.450	911.867
524.578	903.317
524.706	907.825
524.835	910.342
524.963	914.425
525.091	907.875
525.219	907.583
525.347	908.450
525.475	915.783
525.603	911.900
525.731	906.400
525.860	912.983
525.988	912.642
526.116	922.883
526.244	904.917
526.372	910.242
526.500	913.175
526.628	920.800
526.756	915.233
526.885	913.875
527.013	917.683
527.141	917.667
527.269	918.433
527.397	912.783
527.525	911.092
527.653	910.958
527.781	920.183
527.910	915.650
528.038	916.325
528.166	920.683
528.294	921.108
528.422	918.350
528.550	918.883
528.678	925.742
528.806	921.925
528.935	924.908
529.063	925.075
529.191	931.725
529.319	929.683
529.447	934.550
529.575	937.608
529.703	924.867
529.831	925.908
529.960	933.408
530.088	935.475
530.216	927.008
530.344	924.492
530.472	934.650
530.600	934.408
530.728	937.958
530.856	930.058
530.985	927.775
531.113	926.758
531.241	930.025
531.369	929.392
531.497	926.400
531.625	929.683
531.753	926.833
531.881	926.642
532.010	922.967
532.138	933.025
532.266	923.667
532.394	926.250
532.522	917.975
532.650	922.767
532.778	932.108
532.906	916.508
533.035	925.833
533.163	926.200
533.291	917.500
533.419	919.717
533.547	914.825
533.675	928.333
533.803	914.692
533.931	917.233
534.060	918.542
534.188	915.908
534.316	918.317
534.444	916.200
534.572	925.042
534.700	927.958
534.828	927.233
534.956	918.825
535.085	931.292
535.213	920.333
535.341	928.183
535.469	928.242
535.597	937.767
535.725	939.225
535.853	941.100
535.981	937.417
536.110	941.158
536.238	943.533
536.366	948.800
536.494	944.683
536.622	953.408
536.750	950.033
536.878	952.733
537.006	959.750
537.135	954.983
537.263	955.258
537.391	964.800
537.519	956.283
537.647	959.975
537.775	961.275
537.903	967.075
538.031	967.608
538.160	964.692
538.288	970.583
538.416	972.492
538.544	963.525
538.672	968.017
538.800	965.075
538.928	968.883
539.056	976.442
539.185	974.200
539.313	961.650
539.441	970.292
539.569	975.292
539.697	966.100
539.825	977.558
539.953	976.108
