Rausch_Signal_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:20:41
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
565.322	104.415
565.450	104.034
565.578	104.398
565.706	103.797
565.835	103.975
565.963	103.551
566.091	103.814
566.219	104.568
566.347	103.712
566.475	103.864
566.603	103.932
566.731	104.102
566.860	104.017
566.988	103.763
567.116	104.305
567.244	103.678
567.372	103.636
567.500	104.737
567.628	103.602
567.756	104.076
567.885	104.686
568.013	104.483
568.141	103.686
568.269	104.297
568.397	103.551
568.525	104.610
568.653	104.220
568.781	103.941
568.910	104.780
569.038	104.644
569.166	104.271
569.294	103.915
569.422	103.763
569.550	103.695
569.678	104.398
569.806	103.669
569.935	104.771
570.063	104.076
570.191	103.653
570.319	103.364
570.447	103.737
570.575	104.212
570.703	103.585
570.831	103.712
570.960	104.008
571.088	103.559
571.216	103.508
571.344	105.085
571.472	104.483
571.600	103.924
571.728	104.508
571.856	103.949
571.985	103.466
572.113	104.517
572.241	104.186
572.369	104.059
572.497	103.407
572.625	103.898
572.753	104.508
572.881	103.890
573.010	104.975
573.138	104.271
573.266	104.788
573.394	104.576
573.522	103.525
573.650	103.712
573.778	104.076
573.906	104.407
574.035	104.492
574.163	103.508
574.291	103.864
574.419	103.975
574.547	103.805
574.675	104.475
574.803	103.636
574.931	103.856
575.060	103.924
575.188	103.839
575.316	105.076
575.444	104.144
575.572	103.898
575.700	104.271
575.828	105.992
575.956	104.551
576.085	103.949
576.213	104.669
576.341	104.492
576.469	104.619
576.597	104.059
576.725	104.017
576.853	104.415
576.981	103.432
577.110	103.119
577.238	104.602
577.366	104.136
577.494	103.390
577.622	102.864
577.750	104.127
577.878	105.127
578.006	104.229
578.135	104.890
578.263	104.407
578.391	104.085
578.519	104.144
578.647	104.237
578.775	103.110
578.903	104.653
579.031	104.169
579.160	103.949
579.288	104.432
579.416	104.220
579.544	104.322
579.672	104.280
579.800	103.873
579.928	104.085
580.056	104.864
580.185	104.017
580.313	104.068
580.441	104.085
580.569	103.347
580.697	104.703
580.825	104.110
580.953	104.525
581.081	104.669
581.210	104.254
581.338	104.636
581.466	104.169
581.594	104.466
581.722	103.551
581.850	103.653
581.978	103.500
582.106	103.390
582.235	104.508
582.363	104.246
582.491	105.059
582.619	104.627
582.747	104.568
582.875	104.500
583.003	103.797
583.131	103.712
583.260	104.186
583.388	104.254
583.516	103.831
583.644	103.958
583.772	104.127
583.900	104.076
584.028	103.008
584.156	104.237
584.285	104.483
584.413	103.822
584.541	104.932
584.669	103.441
584.797	103.907
584.925	103.915
585.053	104.500
585.181	104.093
585.310	104.686
585.438	104.737
585.566	104.347
585.694	104.220
585.822	103.636
585.950	103.839
586.078	104.144
586.206	104.305
586.335	104.034
586.463	105.364
586.591	104.593
586.719	104.958
586.847	103.610
586.975	104.314
587.103	104.297
587.231	104.653
587.360	104.237
587.488	104.661
587.616	104.305
587.744	104.356
587.872	103.534
588.000	104.093
588.128	104.076
588.256	104.042
588.385	104.093
588.513	103.551
588.641	104.136
588.769	104.051
588.897	104.415
589.025	104.737
589.153	104.203
589.281	103.034
589.410	104.483
589.538	104.763
589.666	104.271
589.794	104.492
589.922	103.627
590.050	104.000
590.178	104.449
590.306	103.881
590.435	104.322
590.563	104.051
590.691	105.000
590.819	103.890
590.947	104.907
591.075	103.932
591.203	104.042
591.331	104.025
591.460	104.161
591.588	103.619
591.716	103.992
591.844	104.525
591.972	103.051
592.100	104.720
592.228	104.703
592.356	103.966
592.485	105.322
592.613	104.958
592.741	104.763
592.869	104.508
592.997	103.958
593.125	103.720
593.253	104.161
593.381	104.398
593.510	103.220
593.638	104.102
593.766	103.542
593.894	103.576
594.022	104.432
594.150	104.864
594.278	104.669
594.406	103.424
594.535	104.695
