70-120-unpol_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:33:27
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
559.813	1555.445
559.941	1560.370
560.069	1569.277
560.197	1562.471
560.325	1562.126
560.453	1566.294
560.581	1563.983
560.710	1567.151
560.838	1572.151
560.966	1570.765
561.094	1587.992
561.222	1567.933
561.350	1554.496
561.478	1558.277
561.606	1563.597
561.735	1559.008
561.863	1557.412
561.991	1562.723
562.119	1560.429
562.247	1567.681
562.375	1569.244
562.503	1561.067
562.631	1564.008
562.760	1560.706
562.888	1562.706
563.016	1561.420
563.144	1557.899
563.272	1563.807
563.400	1546.471
563.528	1547.235
563.656	1559.983
563.785	1567.630
563.913	1553.000
564.041	1556.151
564.169	1560.277
564.297	1568.966
564.425	1564.319
564.553	1579.672
564.681	1569.311
564.810	1562.908
564.938	1571.345
565.066	1575.420
565.194	1586.462
565.322	1586.798
565.450	1583.118
565.578	1589.160
565.706	1588.966
565.835	1588.916
565.963	1591.269
566.091	1581.378
566.219	1597.294
566.347	1594.807
566.475	1600.437
566.603	1600.647
566.731	1610.336
566.860	1616.807
566.988	1602.092
567.116	1631.361
567.244	1619.126
567.372	1625.782
567.500	1630.992
567.628	1632.311
567.756	1624.622
567.885	1643.555
568.013	1653.765
568.141	1648.639
568.269	1653.908
568.397	1646.328
568.525	1647.261
568.653	1667.378
568.781	1667.655
568.910	1694.235
569.038	1682.252
569.166	1666.546
569.294	1681.277
569.422	1688.689
569.550	1671.992
569.678	1693.084
569.806	1687.185
569.935	1699.588
570.063	1712.992
570.191	1715.731
570.319	1711.538
570.447	1710.950
570.575	1718.857
570.703	1727.899
570.831	1727.622
570.960	1727.092
571.088	1732.025
571.216	1735.210
571.344	1738.790
571.472	1740.101
571.600	1753.655
571.728	1745.134
571.856	1748.412
571.985	1761.126
572.113	1757.370
572.241	1762.143
572.369	1773.706
572.497	1782.723
572.625	1778.471
572.753	1761.714
572.881	1773.235
573.010	1771.958
573.138	1801.437
573.266	1802.378
573.394	1803.588
573.522	1798.857
573.650	1800.050
573.778	1796.706
573.906	1802.059
574.035	1792.487
574.163	1806.261
574.291	1803.353
574.419	1812.689
574.547	1822.395
574.675	1820.185
574.803	1812.176
574.931	1806.261
575.060	1834.059
575.188	1818.134
575.316	1818.244
575.444	1830.067
575.572	1835.437
575.700	1805.319
575.828	1837.487
575.956	1850.487
576.085	1828.328
576.213	1839.353
576.341	1830.723
576.469	1853.244
576.597	1824.739
576.725	1830.445
576.853	1832.134
576.981	1825.319
577.110	1828.445
577.238	1855.126
577.366	1842.294
577.494	1830.395
577.622	1838.277
577.750	1847.336
577.878	1832.454
578.006	1866.739
578.135	1837.168
578.263	1834.395
578.391	1852.042
578.519	1852.017
578.647	1864.479
578.775	1851.639
578.903	1832.723
579.031	1866.849
579.160	1855.555
579.288	1853.429
579.416	1843.328
579.544	1857.874
579.672	1871.420
579.800	1876.504
579.928	1852.824
580.056	1849.681
580.185	1851.042
580.313	1869.101
580.441	1877.244
580.569	1868.034
580.697	1865.244
580.825	1882.975
580.953	1893.857
581.081	1893.908
581.210	1896.277
581.338	1920.546
581.466	1909.840
581.594	1915.782
581.722	1904.798
581.850	1916.378
581.978	1923.513
582.106	1920.252
582.235	1942.958
582.363	1921.807
582.491	1925.807
582.619	1935.025
582.747	1945.227
582.875	1948.328
583.003	1966.866
583.131	1971.059
583.260	1969.513
583.388	1981.538
583.516	1987.513
583.644	1987.294
583.772	2001.983
583.900	2015.420
584.028	2017.723
584.156	2011.605
584.285	2022.681
584.413	2018.025
584.541	2037.958
584.669	2040.571
584.797	2050.798
584.925	2049.353
585.053	2064.672
585.181	2061.857
585.310	2075.941
585.438	2081.008
585.566	2078.403
585.694	2105.227
585.822	2102.118
585.950	2098.143
586.078	2126.882
586.206	2126.487
586.335	2125.134
586.463	2132.605
586.591	2146.563
586.719	2148.109
586.847	2150.723
586.975	2166.580
587.103	2164.395
587.231	2150.916
587.360	2176.815
587.488	2168.109
587.616	2188.202
587.744	2183.664
587.872	2185.513
588.000	2183.941
588.128	2209.613
588.256	2214.387
588.385	2188.059
588.513	2202.261
588.641	2204.345
588.769	2228.958
588.897	2207.790
589.025	2210.630
589.153	2211.235
589.281	2206.966
589.410	2228.403
589.538	2226.261
589.666	2232.966
589.794	2240.765
589.922	2247.891
590.050	2258.891
590.178	2224.412
590.306	2238.134
590.435	2243.487
590.563	2238.471
590.691	2257.311
590.819	2256.176
590.947	2285.622
591.075	2254.445
591.203	2277.000
591.331	2274.908
591.460	2279.899
591.588	2276.748
591.716	2289.630
591.844	2286.529
591.972	2303.941
592.100	2295.277
592.228	2290.513
592.356	2300.664
592.485	2285.891
592.613	2301.403
592.741	2337.462
592.869	2307.840
592.997	2327.084
593.125	2325.109
593.253	2349.277
593.381	2348.168
593.510	2356.151
593.638	2350.445
593.766	2362.773
593.894	2362.403
594.022	2369.412
594.150	2369.605
594.278	2397.832
594.406	2385.185
594.535	2377.639
594.663	2389.992
594.791	2389.563
594.919	2401.723
595.047	2422.269
595.175	2421.227
595.303	2421.622
595.431	2435.353
595.560	2466.689
595.688	2440.782
595.816	2473.933
595.944	2451.857
596.072	2451.067
596.200	2468.218
596.328	2472.950
596.456	2469.513
596.585	2464.513
596.713	2482.580
596.841	2510.437
596.969	2483.824
597.097	2505.227
597.225	2513.857
597.353	2517.277
597.481	2532.050
597.610	2522.176
597.738	2571.345
597.866	2555.706
597.994	2547.042
598.122	2575.756
598.250	2596.605
598.378	2564.664
598.506	2555.790
598.635	2601.933
598.763	2588.168
598.891	2615.697
599.019	2602.244
599.147	2626.210
599.275	2596.210
599.403	2658.378
599.531	2644.101
599.660	2630.790
599.788	2648.303
599.916	2651.210
600.044	2706.639
600.172	2655.328
600.300	2668.134
600.428	2655.815
600.556	2676.924
600.685	2765.378
600.813	2700.857
600.941	2710.655
601.069	2705.092
601.197	2693.185
601.325	2717.815
601.453	2707.210
601.581	2739.261
601.710	2764.571
601.838	2761.252
601.966	2839.311
602.094	2835.378
602.222	2788.319
602.350	2772.353
602.478	2797.227
602.606	2855.739
602.735	2792.395
602.863	2840.849
602.991	2850.849
603.119	2813.832
603.247	2835.378
603.375	2857.840
603.503	2879.975
603.631	2903.941
603.760	2905.420
603.888	2921.647
604.016	2891.958
604.144	2896.672
604.272	2938.504
604.400	2949.529
604.528	2959.479
604.656	2967.916
604.785	2976.454
604.913	3015.403
605.041	2955.588
605.169	3014.176
605.297	3003.395
605.425	2994.706
605.553	3031.387
605.681	3019.672
605.810	3061.824
605.938	3060.134
606.066	3050.353
606.194	3083.555
606.322	3064.454
606.450	3086.370
606.578	3052.504
606.706	3101.992
606.835	3111.824
606.963	3154.387
607.091	3152.891
607.219	3106.042
607.347	3094.891
607.475	3158.639
607.603	3111.815
607.731	3106.420
607.860	3134.336
607.988	3151.403
608.116	3192.059
608.244	3144.639
608.372	3192.773
608.500	3168.429
608.628	3148.294
608.756	3163.420
608.885	3204.563
609.013	3167.748
609.141	3171.126
609.269	3135.378
609.397	3164.277
609.525	3187.790
609.653	3224.924
609.781	3186.496
609.910	3201.563
610.038	3288.067
610.166	3217.261
610.294	3201.597
610.422	3197.034
610.550	3197.782
610.678	3218.739
610.806	3217.168
610.935	3202.824
611.063	3230.471
611.191	3253.765
611.319	3237.739
611.447	3237.756
611.575	3212.555
611.703	3213.950
611.831	3247.941
611.960	3233.983
612.088	3261.647
612.216	3234.277
612.344	3252.000
612.472	3281.950
612.600	3287.765
612.728	3264.571
612.856	3255.429
612.985	3257.151
613.113	3298.462
613.241	3307.202
613.369	3270.756
613.497	3284.084
613.625	3306.857
613.753	3306.050
613.881	3311.202
614.010	3281.420
614.138	3334.387
614.266	3335.580
614.394	3343.748
614.522	3359.672
614.650	3331.681
614.778	3364.681
614.906	3335.462
615.035	3376.950
615.163	3346.336
615.291	3409.723
615.419	3378.933
615.547	3364.412
615.675	3384.420
615.803	3442.479
615.931	3412.403
616.060	3406.529
616.188	3430.723
616.316	3452.941
616.444	3406.092
616.572	3455.773
616.700	3478.723
616.828	3442.748
616.956	3500.050
617.085	3464.538
617.213	3482.613
617.341	3484.866
617.469	3563.672
617.597	3491.597
617.725	3480.210
617.853	3495.933
617.981	3520.958
618.110	3562.529
618.238	3561.513
618.366	3537.252
618.494	3549.378
618.622	3556.126
618.750	3633.857
618.878	3607.992
619.006	3609.042
619.135	3653.210
619.263	3615.101
619.391	3628.479
619.519	3638.933
619.647	3705.395
619.775	3677.244
619.903	3692.504
620.031	3655.143
620.160	3673.824
620.288	3718.681
620.416	3716.210
620.544	3713.277
620.672	3737.529
620.800	3768.210
620.928	3762.966
621.056	3829.723
621.185	3768.118
621.313	3762.563
621.441	3790.059
621.569	3814.798
621.697	3826.017
621.825	3847.504
621.953	3845.025
622.081	3876.664
622.210	3854.168
622.338	3885.866
622.466	3898.143
622.594	3906.050
622.722	3868.891
622.850	3934.613
622.978	3967.462
623.106	3971.403
623.235	3947.882
623.363	3973.479
623.491	3946.151
623.619	4002.050
623.747	3966.067
623.875	3999.513
624.003	3974.773
624.131	4022.042
624.260	4033.824
624.388	3994.933
624.516	4035.370
624.644	4023.185
624.772	4022.924
624.900	4009.176
625.028	4056.311
625.156	4030.496
625.285	4099.849
625.413	4085.328
625.541	4051.555
625.669	4086.563
625.797	4088.992
625.925	4090.613
626.053	4099.202
626.181	4098.034
626.310	4174.269
626.438	4080.681
626.566	4128.403
626.694	4111.437
626.822	4110.958
626.950	4166.244
627.078	4114.765
627.206	4141.689
627.335	4139.706
627.463	4144.992
627.591	4175.479
627.719	4224.361
627.847	4169.050
627.975	4185.008
628.103	4199.622
628.231	4206.202
628.360	4190.328
628.488	4206.689
628.616	4194.017
628.744	4207.588
628.872	4227.739
629.000	4210.471
629.128	4218.681
629.256	4198.731
629.385	4213.336
629.513	4196.807
629.641	4241.639
629.769	4288.824
629.897	4256.378
630.025	4226.588
630.153	4282.866
630.281	4262.303
630.410	4257.824
630.538	4257.345
630.666	4277.975
630.794	4268.017
630.922	4312.546
631.050	4274.874
631.178	4281.328
631.306	4281.891
631.435	4274.286
631.563	4301.067
631.691	4337.605
631.819	4392.076
631.947	4279.664
632.075	4275.655
632.203	4346.134
632.331	4323.487
632.460	4317.857
632.588	4314.345
632.716	4325.529
632.844	4384.689
632.972	4295.916
633.100	4312.387
633.228	4339.269
633.356	4345.092
633.485	4334.395
633.613	4354.958
633.741	4356.958
633.869	4340.975
633.997	4352.319
634.125	4415.546
634.253	4370.084
634.381	4393.328
634.510	4394.471
634.638	4388.950
634.766	4436.630
634.894	4396.092
635.022	4380.622
635.150	4368.857
635.278	4395.361
635.406	4380.706
635.535	4374.546
635.663	4418.983
635.791	4338.395
635.919	4366.403
636.047	4387.286
636.175	4382.059
636.303	4363.706
636.431	4402.622
636.560	4400.815
636.688	4374.992
636.816	4399.303
636.944	4397.899
637.072	4394.790
637.200	4393.588
637.328	4399.765
637.456	4372.176
637.585	4385.361
637.713	4400.597
637.841	4399.899
637.969	4402.908
638.097	4406.924
638.225	4413.874
638.353	4409.387
638.481	4423.202
638.610	4412.017
638.738	4426.319
638.866	4401.756
638.994	4437.874
639.122	4402.471
639.250	4416.924
639.378	4465.647
639.506	4426.050
639.635	4446.504
639.763	4411.571
639.891	4463.874
640.019	4462.613
640.147	4484.571
640.275	4438.092
640.403	4441.412
640.531	4520.874
640.660	4475.168
640.788	4532.975
640.916	4489.160
641.044	4493.445
641.172	4479.168
641.300	4513.101
641.428	4502.101
641.556	4510.118
