70-80-90_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:27:47
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	465.218
516.122	435.185
516.250	430.655
516.378	429.891
516.506	431.487
516.635	435.479
516.763	433.748
516.891	434.874
517.019	436.908
517.147	432.277
517.275	436.815
517.403	438.143
517.531	434.739
517.660	428.983
517.788	432.580
517.916	434.714
518.044	436.000
518.172	435.269
518.300	432.975
518.428	440.025
518.556	435.504
518.685	435.748
518.813	437.840
518.941	440.655
519.069	439.580
519.197	437.109
519.325	442.563
519.453	440.101
519.581	442.647
519.710	441.252
519.838	446.655
519.966	446.924
520.094	441.672
520.222	445.403
520.350	447.706
520.478	446.630
520.606	452.059
520.735	449.798
520.863	452.445
520.991	454.555
521.119	455.277
521.247	456.109
521.375	455.176
521.503	460.613
521.631	456.630
521.760	459.445
521.888	459.445
522.016	465.261
522.144	466.202
522.272	464.487
522.400	465.798
522.528	471.008
522.656	463.866
522.785	465.790
522.913	468.261
523.041	467.681
523.169	463.496
523.297	463.916
523.425	470.739
523.553	476.151
523.681	468.513
523.810	474.916
523.938	474.697
524.066	472.143
524.194	474.681
524.322	469.319
524.450	470.235
524.578	466.580
524.706	475.160
524.835	474.202
524.963	473.622
525.091	469.689
525.219	476.202
525.347	470.353
525.475	470.622
525.603	474.782
525.731	474.798
525.860	471.261
525.988	469.151
526.116	468.891
526.244	475.807
526.372	469.387
526.500	479.445
526.628	482.059
526.756	472.555
526.885	478.151
527.013	474.739
527.141	476.748
527.269	479.336
527.397	477.387
527.525	474.252
527.653	475.933
527.781	475.008
527.910	479.832
528.038	481.765
528.166	480.336
528.294	480.538
528.422	478.882
528.550	479.445
528.678	481.866
528.806	483.966
528.935	487.185
529.063	487.412
529.191	487.025
529.319	487.218
529.447	487.605
529.575	491.193
529.703	493.420
529.831	493.571
529.960	485.269
530.088	488.790
530.216	496.412
530.344	492.983
530.472	494.378
530.600	500.319
530.728	500.773
530.856	496.109
530.985	496.244
531.113	495.361
531.241	502.731
531.369	500.538
531.497	501.176
531.625	497.017
531.753	499.655
531.881	504.008
532.010	505.092
532.138	500.261
532.266	494.941
532.394	506.370
532.522	497.647
532.650	502.454
