90-70-unpol_at_679.99nm_cut_at_1276.00Y_01.dat
24.01.2024
13:25:20
cut middle at Y: 1276.00
top cursor: 1337 down cursor: 1215 mean of: 122 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	1261.467
516.122	1189.279
516.250	1172.295
516.378	1165.066
516.506	1162.795
516.635	1177.664
516.763	1168.869
516.891	1179.148
517.019	1183.402
517.147	1180.787
517.275	1186.541
517.403	1192.115
517.531	1167.631
517.660	1183.090
517.788	1176.484
517.916	1187.066
518.044	1170.541
518.172	1189.213
518.300	1193.713
518.428	1179.066
518.556	1185.041
518.685	1185.434
518.813	1192.877
518.941	1192.025
519.069	1194.016
519.197	1188.615
519.325	1201.451
519.453	1195.951
519.581	1213.156
519.710	1202.303
519.838	1208.656
519.966	1212.475
520.094	1213.852
520.222	1214.254
520.350	1218.287
520.478	1224.123
520.606	1225.016
520.735	1218.910
520.863	1235.582
520.991	1240.180
521.119	1237.746
521.247	1244.951
521.375	1242.090
521.503	1253.443
521.631	1249.811
521.760	1260.926
521.888	1246.426
522.016	1256.861
522.144	1254.213
522.272	1266.418
522.400	1277.861
522.528	1289.992
522.656	1282.049
522.785	1289.484
522.913	1280.057
523.041	1278.926
523.169	1282.164
523.297	1282.951
523.425	1289.148
523.553	1295.328
523.681	1299.680
523.810	1297.951
523.938	1308.844
524.066	1294.393
524.194	1302.344
524.322	1309.090
524.450	1309.852
524.578	1294.139
524.706	1309.803
524.835	1302.377
524.963	1304.795
525.091	1306.303
525.219	1302.172
525.347	1292.139
525.475	1305.746
525.603	1303.836
525.731	1317.828
525.860	1312.254
525.988	1292.689
526.116	1304.107
526.244	1308.844
526.372	1296.107
526.500	1306.844
526.628	1318.115
526.756	1312.352
526.885	1311.680
527.013	1309.139
527.141	1315.344
527.269	1314.893
527.397	1313.549
527.525	1315.352
527.653	1308.025
527.781	1313.180
527.910	1326.623
528.038	1324.508
528.166	1337.057
528.294	1330.451
528.422	1329.779
528.550	1326.680
528.678	1336.418
528.806	1330.074
528.935	1344.303
529.063	1334.721
529.191	1342.385
529.319	1339.795
529.447	1352.189
529.575	1346.680
529.703	1343.344
529.831	1356.172
529.960	1350.811
530.088	1346.918
530.216	1368.820
530.344	1342.238
530.472	1366.533
530.600	1363.107
530.728	1367.541
530.856	1367.197
530.985	1377.311
531.113	1362.418
