70-140-0_at_679.99nm_cut_at_1276.00Y_01.dat
24.01.2024
11:36:43
cut middle at Y: 1276.00
top cursor: 1337 down cursor: 1215 mean of: 122 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	474.246
516.122	459.516
516.250	451.238
516.378	449.943
516.506	453.984
516.635	450.795
516.763	453.074
516.891	458.992
517.019	456.410
517.147	458.066
517.275	457.320
517.403	459.754
517.531	453.590
517.660	459.475
517.788	457.754
517.916	462.377
518.044	460.451
518.172	459.008
518.300	461.787
518.428	456.377
518.556	459.057
518.685	462.754
518.813	463.254
518.941	467.295
519.069	468.041
519.197	467.262
519.325	473.402
519.453	464.361
519.581	471.623
519.710	469.246
519.838	477.467
519.966	471.189
520.094	475.770
520.222	476.311
520.350	477.205
520.478	480.754
520.606	482.680
520.735	478.238
520.863	485.361
520.991	489.664
521.119	478.344
521.247	488.238
521.375	486.664
521.503	490.467
521.631	488.852
521.760	491.025
521.888	492.844
522.016	494.836
522.144	495.287
522.272	498.123
522.400	502.516
522.528	505.279
522.656	502.680
522.785	506.885
522.913	504.713
523.041	504.303
523.169	506.025
523.297	510.000
523.425	505.721
523.553	505.574
523.681	506.664
523.810	509.303
523.938	515.738
524.066	513.721
524.194	512.434
524.322	516.631
524.450	508.139
524.578	514.426
524.706	517.033
524.835	508.402
524.963	516.721
525.091	512.311
525.219	509.041
525.347	517.492
525.475	515.451
525.603	517.959
525.731	517.680
525.860	513.672
525.988	513.008
526.116	512.598
526.244	516.098
526.372	513.295
526.500	515.779
526.628	521.238
526.756	513.951
526.885	518.984
527.013	513.016
527.141	519.713
527.269	514.885
527.397	518.820
527.525	524.082
527.653	516.811
527.781	517.189
527.910	527.139
528.038	524.221
528.166	524.926
528.294	520.016
528.422	522.877
528.550	526.639
528.678	524.090
528.806	530.213
528.935	535.410
529.063	530.934
529.191	528.779
529.319	532.459
529.447	532.230
529.575	533.877
529.703	533.254
529.831	532.148
529.960	538.697
530.088	530.926
530.216	533.598
530.344	535.533
530.472	535.680
530.600	539.393
530.728	538.139
530.856	540.369
530.985	538.811
531.113	537.795
531.241	540.107
531.369	545.279
531.497	537.115
531.625	539.025
531.753	540.738
531.881	540.746
532.010	538.713
532.138	541.861
532.266	537.057
532.394	536.582
532.522	534.984
532.650	539.459
532.778	544.639
532.906	537.918
533.035	540.484
533.163	538.164
533.291	536.820
533.419	533.246
533.547	537.156
533.675	534.557
533.803	536.557
533.931	536.303
534.060	543.295
534.188	539.156
534.316	541.049
534.444	537.041
534.572	538.262
534.700	545.836
534.828	539.836
534.956	543.148
535.085	547.393
535.213	541.533
535.341	543.033
535.469	541.434
535.597	547.016
535.725	548.795
535.853	554.787
535.981	549.189
536.110	560.107
536.238	558.500
536.366	557.377
536.494	559.115
536.622	558.369
536.750	559.738
536.878	565.303
537.006	563.074
537.135	567.672
537.263	561.385
537.391	565.016
537.519	566.615
537.647	563.369
537.775	568.590
537.903	571.885
538.031	571.246
538.160	575.811
538.288	572.811
538.416	575.025
538.544	575.689
538.672	579.098
538.800	578.795
538.928	581.975
539.056	588.164
539.185	584.164
539.313	577.836
539.441	584.475
539.569	581.607
539.697	587.205
539.825	590.820
539.953	581.156
540.081	585.590
540.210	581.639
540.338	593.123
540.466	586.500
540.594	587.377
540.722	582.295
540.850	586.852
540.978	591.066
541.106	585.713
541.235	587.918
541.363	584.451
541.491	588.549
541.619	584.549
541.747	589.418
541.875	592.713
542.003	591.836
542.131	588.836
542.260	597.779
542.388	588.680
542.516	596.861
542.644	593.885
542.772	594.738
542.900	594.746
543.028	590.451
543.156	597.975
543.285	596.484
543.413	593.541
543.541	601.549
543.669	599.590
543.797	598.697
543.925	598.016
544.053	592.467
544.181	594.574
544.310	597.639
544.438	592.156
544.566	600.418
544.694	601.172
544.822	598.361
544.950	600.754
545.078	600.820
545.206	598.279
545.335	605.352
545.463	592.205
545.591	597.738
545.719	596.434
545.847	598.230
545.975	600.123
546.103	600.525
546.231	594.959
546.360	601.566
546.488	599.180
546.616	598.762
