70-120-90_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:34:03
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
565.322	634.513
565.450	632.168
565.578	632.008
565.706	631.134
565.835	629.471
565.963	631.513
566.091	636.143
566.219	635.353
566.347	631.017
566.475	638.084
566.603	641.000
566.731	641.891
566.860	642.462
566.988	643.008
567.116	649.286
567.244	647.235
567.372	646.563
567.500	652.874
567.628	649.824
567.756	657.286
567.885	659.824
568.013	655.067
568.141	656.496
568.269	656.244
568.397	657.941
568.525	657.084
568.653	665.361
568.781	666.319
568.910	666.042
569.038	666.336
569.166	665.571
569.294	671.866
569.422	673.639
569.550	670.235
569.678	676.882
569.806	676.286
569.935	684.437
570.063	674.857
570.191	681.429
570.319	684.639
570.447	691.076
570.575	682.412
570.703	690.303
570.831	694.336
570.960	686.941
571.088	699.345
571.216	694.471
571.344	699.504
571.472	693.294
571.600	708.286
571.728	695.513
571.856	700.092
571.985	704.857
572.113	706.630
572.241	703.378
572.369	712.034
572.497	704.672
572.625	711.000
572.753	714.445
572.881	718.882
573.010	709.924
573.138	722.765
573.266	717.639
573.394	718.958
573.522	714.580
573.650	718.966
573.778	724.345
573.906	726.471
574.035	719.412
574.163	725.059
574.291	723.294
574.419	723.580
574.547	735.454
574.675	732.588
574.803	731.580
574.931	728.689
575.060	737.908
575.188	726.185
575.316	728.521
575.444	737.067
575.572	731.118
575.700	732.807
575.828	732.311
575.956	744.109
576.085	732.924
576.213	735.210
576.341	727.950
576.469	734.639
576.597	739.924
576.725	731.084
576.853	733.798
576.981	730.723
577.110	727.966
577.238	739.571
577.366	738.966
577.494	732.429
577.622	735.714
577.750	727.840
577.878	737.941
578.006	740.084
578.135	733.462
578.263	741.992
578.391	740.571
578.519	741.647
578.647	741.504
578.775	738.782
578.903	739.193
579.031	748.773
579.160	739.471
579.288	748.353
579.416	739.412
579.544	747.311
579.672	747.126
579.800	752.109
579.928	747.487
580.056	742.571
580.185	750.546
580.313	749.050
580.441	755.555
580.569	752.966
580.697	746.261
580.825	756.908
580.953	761.303
581.081	753.639
581.210	763.664
581.338	764.471
